feature,importance
bvol_close,0.011471416
bvol_high,0.011287217
cg_oi_agg_close,0.010667727
cg_ls_ratio,0.010189541
bvol_ma_24h,0.009576686
vol_kurtosis,0.009545079
bvol_std,0.009350785
cg_ls_short_pct,0.009038472
bvol_ratio_ma24,0.009002185
bvol_low,0.0089145675
liq_imbalance_zscore,0.008669037
bvol_open,0.008600821
cg_gls_long_pct,0.00856344
cg_ls_long_pct,0.008538419
cg_liq_ratio,0.008492971
taker_delta_std_24h,0.008338817
cg_oi_close,0.008310947
cg_oi_close_zscore,0.00825412
cg_oi_binance_share,0.008216376
buy_flow_price_impact,0.008176138
cg_oi_close_pctchg_8h,0.008109686
cg_funding_close_zscore,0.008095583
bvol_ma_72h,0.008090436
cg_gls_ratio_zscore,0.008047522
funding_extreme,0.007851977
bvol_intra_range_pct,0.007779556
weekday_cos,0.0077209175
bvol_change_24h,0.0076465774
cg_gls_ratio,0.0076289787
bvol_change_8h,0.0076066973
quote_vol_ratio,0.007594356
weekday_sin,0.007471487
agg_large_small_div_zscore,0.007441968
impact_asymmetry,0.007370326
cg_ls_divergence,0.007162937
funding_zscore,0.007117787
vol_regime,0.007032768
trade_intensity,0.0069611142
taker_delta_ma_24h,0.006951774
cg_oi_binance_share_zscore,0.006900437
trade_count_accel,0.006833465
absorption_score,0.00683251
hour_cos,0.006819381
ret_5b,0.006812945
oi_price_confirm,0.0067772064
return_kurtosis,0.0067103254
cg_crowding,0.006671988
vol_entropy,0.006640918
agg_large_delta_ma_4h,0.006594097
cg_oi_accel,0.006477538
hour_sin,0.0064621544
cg_liq_surge,0.0064318064
agg_large_delta_ma_8h,0.006429161
cg_oi_delta_mom_1h,0.006403582
cg_liq_short_cum_8h,0.0063588656
cg_oi_range_zscore,0.006351248
cg_liq_long_cum_8h,0.0063395314
bvol_intra_range,0.0063353456
cg_ls_ratio_zscore,0.0063206106
cg_oi_close_pctchg_4h,0.0063149147
cg_funding_close,0.006305519
agg_large_small_div,0.006275959
imb_std_5b,0.0062585846
cg_liq_imbalance_zscore,0.0062325895
cg_gls_short_pct,0.0061894674
crowding_zscore,0.0061884853
avg_trade_size,0.0061592218
realized_vol_20b,0.00614078
cg_oi_close_pctchg_12h,0.0061288904
cg_ls_divergence_zscore,0.0060993508
large_delta_persistence,0.0059901937
sell_flow_price_impact,0.0059760967
vol_acceleration,0.0059755417
trade_intensity_zscore,0.005971956
cg_liq_vs_vol,0.0059654214
large_delta_ma_4,0.005965244
bvol_zscore,0.0059604873
cg_liq_long_cum_4h,0.0059337127
cg_liq_short_cum_4h,0.0059234016
cg_conviction,0.00591024
bvol_change_4h,0.0058889594
ret_2b,0.005824876
ls_ratio_zscore,0.0058173193
imb_8b,0.005802238
bvol_accel_4h,0.0057591163
agg_large_delta_zscore,0.005673164
ret_3b_persistence,0.005654847
ret_3b,0.0056485254
absorption_cumsum_4h,0.0056314077
absorption_ma_4h,0.0055953693
absorption_zscore,0.0055549685
cg_oi_close_pctchg_24h,0.0055078287
avg_trade_notional_zscore,0.0054857484
cg_funding_range,0.00544814
large_small_divergence,0.0054102386
absorption_net_zscore,0.0053599654
imb_3b,0.005356631
cg_funding_close_slope_4h,0.0053535528
imb_3b_zscore,0.005349814
imb_slope_4b,0.0053244242
agg_imbalance_div,0.005309129
signed_body_ratio,0.0053076376
agg_large_delta_frac,0.005305243
small_delta,0.0052763633
cg_liq_x_oi,0.005274701
cg_taker_buy,0.0052232747
cg_oi_delta_zscore,0.005207053
cg_oi_upper_shadow,0.00520397
cg_liq_imbalance,0.0051743835
cg_oi_delta_slope_4h,0.005157292
cg_oi_agg_delta,0.005140786
agg_large_ratio,0.0051347655
cg_liq_total_zscore,0.0051099434
cg_taker_delta_mom_1h,0.0050288914
cg_taker_sell,0.005017445
avg_trade_size_zscore,0.0050064377
agg_large_delta,0.004995571
small_delta_zscore,0.004964515
large_buy_ratio,0.004952208
avg_trade_notional,0.0049514356
ret_1b,0.0049265046
bvol_change_1h,0.004897493
cg_oi_range,0.0048838905
agg_large_buy_ratio,0.004867827
body_ratio,0.004854382
cg_oi_delta,0.0048533753
funding_taker_align,0.004806152
cg_oi_range_pct,0.0047739963
return_lag_6,0.0047424673
reversal_1v3,0.004734789
cg_liq_surge_zscore,0.004725239
squeeze_proxy,0.0046936455
cg_oi_agg_delta_zscore,0.0046900515
imb_5b,0.004680819
cg_taker_delta_slope_4h,0.0045207846
cg_taker_delta,0.004519428
return_lag_5,0.00449618
taker_delta_ratio,0.0044619674
large_delta,0.0044590915
return_lag_8,0.0044563836
cg_liq_long,0.0044252146
return_lag_2,0.004423337
large_delta_slope_4,0.004417849
large_buy_ratio_zscore,0.0043989453
bvol_slope_4h,0.0043987734
return_lag_7,0.0043506417
return_lag_9,0.004333189
cg_liq_imbalance_slope_4h,0.004309586
quote_vol_zscore,0.004303721
cg_funding_close_mom_1h,0.0042985003
cg_liq_short,0.004240555
large_buy_bias,0.00415893
wick_asymmetry,0.0040256316
absorption_buy,0.003998292
oi_price_divergence,0.0038286818
return_lag_3,0.003806835
agg_small_delta,0.0038004268
liq_imbalance_slope,0.003791997
large_taker_signal,0.0037417207
absorption_sell,0.003694873
return_lag_1,0.003645563
return_lag_4,0.0036186653
cg_taker_delta_zscore,0.0035236042
return_lag_10,0.0033871694
cg_liq_total,0.0030993395
absorption_net,0.002867918
imb_sign_persistence,0.002621016
large_small_div_zscore,0.0
imb_1b,0.0
cg_taker_ratio,0.0
cg_liq_cascade,0.0
large_delta_zscore,0.0
