,0
cg_oi_agg_close,0.043903746
cg_oi_close,0.04122556
vol_kurtosis,0.04098424
hour_cos,0.04063968
cg_ls_ratio,0.03995408
cg_bfx_margin_ratio,0.039598707
hour_sin,0.037842356
vol_acceleration,0.03763242
cg_pos_account_divergence,0.03724106
cg_bfx_margin_ratio_zscore,0.036820527
vol_regime,0.036780108
cg_gls_ratio,0.036383957
cg_bfx_margin_delta_zscore,0.035631783
cg_oi_close_pctchg_24h,0.035234444
cg_oi_close_zscore,0.034979433
cg_taker_sell,0.034461223
cg_oi_close_pctchg_8h,0.03349173
cg_ls_divergence_zscore,0.033422247
cg_oi_close_pctchg_12h,0.033392627
cg_oi_range_pct,0.031011732
cg_oi_binance_share_zscore,0.030068617
cg_oi_range_zscore,0.029924529
squeeze_proxy,0.029081644
quote_vol_zscore,0.029020656
cg_oi_close_pctchg_4h,0.028688977
cg_liq_long,0.028563892
cg_liq_x_oi,0.02852431
cg_liq_total_zscore,0.028096698
return_lag_4,0.027398968
