,0
cg_oi_close_zscore,0.019601084
cg_oi_binance_share_zscore,0.014356707
cg_oi_binance_share,0.013892689
cg_ls_long_pct,0.013742328
cg_oi_agg_close,0.013574318
cg_oi_close,0.013487294
cg_bfx_margin_delta,0.013372817
cg_ls_divergence,0.013311598
vol_kurtosis,0.013217864
taker_delta_std_24h,0.012733898
hour_cos,0.012640188
cg_cb_premium_rate,0.0126354
cg_ls_divergence_zscore,0.012609314
cg_pos_account_divergence,0.012531668
cg_funding_close,0.012477044
vol_kurt_non_bear,0.012446255
vol_regime,0.012405435
cg_ls_ratio,0.012351828
vol_acceleration,0.012329427
cg_bfx_margin_ratio_zscore,0.01223844
cg_taker_delta_zscore,0.012178445
oi_8h_non_bull,0.012071799
cg_oi_close_pctchg_24h,0.011676423
cg_gls_ratio_zscore,0.011624418
cg_bfx_margin_ratio,0.011560839
return_kurtosis,0.011540206
cg_ls_ratio_zscore,0.011530032
long_liq_exhaustion_4h,0.011456259
cg_ls_short_pct,0.011419727
cg_taker_buy,0.011271173
cg_crowding,0.011210918
weekday_sin,0.011178892
cg_funding_close_zscore,0.011151958
cg_funding_range,0.011131539
cg_cb_premium,0.010845468
oi_price_divergence,0.010831226
cg_taker_sell,0.010810336
cg_gls_short_pct,0.010809294
cg_oi_delta_accel,0.010773111
cg_oi_delta_mom_1h,0.010726324
cg_oi_delta_zscore,0.010682531
cg_oi_close_pctchg_12h,0.010681531
weekday_cos,0.0106628835
realized_vol_20b,0.01059944
cg_oi_delta,0.010545567
vol_entropy,0.0104758
cg_bfx_margin_delta_zscore,0.0103211645
cg_taker_delta,0.01031103
cg_funding_close_accel,0.010293589
taker_delta_ma_24h,0.010170146
cg_cb_premium_rate_zscore,0.010078343
cg_liq_imbalance,0.009982024
quote_vol_ratio,0.0099745765
cg_gls_long_pct,0.009967007
quote_vol_zscore,0.009960395
cg_oi_agg_delta_zscore,0.009909556
squeeze_proxy,0.009811373
return_lag_5,0.009810998
return_lag_4,0.009704214
cg_liq_total,0.009685255
cg_gls_ratio,0.00965961
cg_oi_close_pctchg_4h,0.009540274
cg_liq_ratio,0.009411117
cvd_persistence_12h,0.00931889
cg_taker_delta_slope_4h,0.009230695
cg_taker_delta_mom_1h,0.009205972
return_lag_9,0.009163848
cg_taker_ratio,0.009130361
cg_conviction,0.009108112
hour_sin,0.00898185
cg_funding_close_slope_4h,0.00896173
cg_oi_upper_shadow,0.008893829
return_lag_8,0.008879053
cg_oi_close_pctchg_8h,0.008766352
cg_spot_futures_cvd_divergence,0.008756423
cg_oi_delta_slope_4h,0.008711019
cg_oi_agg_delta,0.008678178
cg_liq_total_zscore,0.008648862
cg_liq_long,0.008629804
cg_oi_range_pct,0.008628782
cg_oi_accel,0.008624693
return_lag_2,0.008537729
return_lag_1,0.008502485
cg_funding_close_mom_1h,0.008328793
return_lag_10,0.008285779
cg_liq_short,0.008184577
cg_liq_x_oi,0.008162942
cg_oi_range_zscore,0.008145842
funding_taker_align,0.00810186
cg_taker_delta_accel,0.007852959
return_lag_7,0.0077800704
taker_delta_ratio,0.0077599543
cg_liq_imbalance_zscore,0.0071798777
return_lag_6,0.007176316
return_lag_3,0.006517984
cg_funding_regime_shift,0.0051720175
is_trending_bear,0.0
is_trending_bull,0.0
