,0
cg_taker_sell,0.07213135
hour_cos,0.048062395
cg_taker_buy,0.034013774
weekday_sin,0.0293494
cg_oi_range_pct,0.026541965
cg_pos_account_divergence,0.024032323
cg_pos_ls_ratio,0.02333124
realized_vol_20b,0.020949991
cg_liq_long,0.020708436
cg_oi_close,0.019164756
cg_gls_ratio,0.018710408
hour_sin,0.017975437
weekday_cos,0.017615572
cg_oi_cm_vs_usd,0.017426133
cg_gls_ratio_zscore,0.016564887
cg_oi_close_pctchg_24h,0.015496855
cg_oi_close_pctchg_12h,0.0148485005
cg_bfx_margin_delta,0.014459448
cg_ls_ratio,0.013796455
vol_acceleration,0.013760959
cg_oi_close_zscore,0.0137251895
taker_delta_ma_24h,0.013567114
vol_entropy,0.013486651
cg_liq_short,0.013436579
cg_oi_cm_close,0.013411855
cg_liq_x_oi,0.013244413
cg_oi_close_pctchg_8h,0.013124034
cg_liq_ratio,0.012812423
cg_oi_agg_close,0.012448701
cg_oi_close_pctchg_4h,0.012420788
cg_liq_agg_total,0.012278147
cg_liq_imbalance,0.012223165
cg_pos_ls_ratio_zscore,0.01217959
cg_funding_close_zscore,0.011714904
cg_liq_agg_imbalance_zscore,0.011655941
cg_margin_funding_align,0.011518962
cg_funding_close,0.011420522
cg_liq_agg_imbalance,0.011356293
vol_regime,0.011242884
cg_ls_ratio_zscore,0.0104922885
cg_oi_cm_delta,0.010461026
vol_kurtosis,0.010124005
cg_liq_agg_long,0.0100621395
taker_delta_std_24h,0.010021006
cg_bfx_margin_delta_zscore,0.009596
cg_funding_close_slope_4h,0.009534233
cg_funding_close_mom_1h,0.009453612
cg_crowding,0.009329049
cg_oi_delta_zscore,0.008865422
return_kurtosis,0.008469801
oi_price_divergence,0.008071452
cg_fcvd_delta_zscore,0.007876389
cg_oi_range_zscore,0.007834345
taker_delta_ratio,0.007834264
cg_liq_imbalance_zscore,0.0077647944
cg_liq_total_zscore,0.007705169
cg_taker_delta_mom_1h,0.0073112827
cg_oi_accel,0.007240729
cg_liq_exchange_vs_agg,0.007176594
cg_oi_agg_delta,0.007166907
cg_oi_delta,0.0071177194
cg_conviction,0.00701466
cg_funding_range,0.0069964016
cg_oi_cm_delta_zscore,0.006945413
cg_taker_delta_slope_4h,0.006901585
squeeze_proxy,0.006747042
cg_liq_total,0.0066143447
cg_oi_delta_mom_1h,0.006578749
cg_liq_agg_short,0.0064531234
cg_taker_ratio,0.0062364503
funding_taker_align,0.0061698486
cg_oi_agg_delta_zscore,0.0061128335
cg_oi_delta_slope_4h,0.0060203923
cg_fcvd_delta,0.0057189553
cg_taker_delta_zscore,0.0050702896
cg_taker_delta,0.0047033327
