,0
hour_cos,0.05363917
weekday_cos,0.04646403
cg_oi_close_pctchg_24h,0.03818754
cg_ls_ratio_zscore,0.02897676
cg_oi_close_pctchg_12h,0.02593546
realized_vol_20b,0.023434741
taker_delta_std_24h,0.02310725
hour_sin,0.022596007
cg_oi_close,0.021029402
vol_acceleration,0.020137105
cg_bfx_margin_delta,0.018941676
cg_pos_ls_ratio,0.017290665
cg_funding_close,0.017070506
weekday_sin,0.016539864
taker_delta_ma_24h,0.016432323
cg_liq_long,0.016379435
vol_regime,0.016033666
cg_pos_account_divergence,0.015988804
cg_oi_close_pctchg_4h,0.015725588
cg_oi_delta,0.015567538
cg_liq_total,0.015521592
cg_gls_ratio_zscore,0.015399243
cg_oi_close_zscore,0.015057022
cg_oi_agg_close,0.014356141
oi_price_divergence,0.014044453
return_kurtosis,0.013811574
cg_oi_cm_close,0.013437206
cg_oi_delta_zscore,0.013284313
cg_oi_close_pctchg_8h,0.01285573
cg_oi_cm_vs_usd,0.012839198
cg_gls_ratio,0.012267363
cg_crowding,0.012233717
vol_entropy,0.012185658
cg_ls_ratio,0.011752968
cg_funding_close_slope_4h,0.011686773
cg_liq_agg_long,0.011463126
cg_margin_funding_align,0.011425054
taker_delta_ratio,0.011256879
cg_taker_buy,0.010754297
cg_oi_cm_delta,0.010704733
cg_oi_range_pct,0.010593295
cg_bfx_margin_delta_zscore,0.010505822
vol_kurtosis,0.010505211
cg_taker_sell,0.010322372
cg_pos_ls_ratio_zscore,0.010176346
cg_funding_close_zscore,0.00949099
cg_taker_delta_zscore,0.009038198
cg_taker_ratio,0.008904553
cg_liq_agg_imbalance,0.008848951
cg_oi_cm_delta_zscore,0.008567112
cg_oi_range_zscore,0.008491192
cg_liq_total_zscore,0.008482891
cg_liq_agg_total,0.008398142
cg_funding_close_mom_1h,0.008107081
cg_liq_short,0.00803855
cg_liq_imbalance,0.007931617
cg_liq_exchange_vs_agg,0.0076493295
cg_oi_agg_delta,0.0076219416
cg_oi_agg_delta_zscore,0.007517153
cg_funding_range,0.007380245
cg_fcvd_delta_zscore,0.0071309335
cg_taker_delta_mom_1h,0.0067977877
cg_liq_agg_imbalance_zscore,0.0066548786
cg_taker_delta_slope_4h,0.006583792
cg_conviction,0.0064611286
cg_liq_x_oi,0.0064536184
funding_taker_align,0.006411797
squeeze_proxy,0.0063623176
cg_liq_ratio,0.00605992
cg_oi_delta_slope_4h,0.0058579673
cg_oi_accel,0.00580285
cg_taker_delta,0.0056455685
cg_fcvd_delta,0.005615097
cg_liq_imbalance_zscore,0.005425487
cg_oi_delta_mom_1h,0.005178413
cg_liq_agg_short,0.005172812
