,0
init_bo_up,0.12590246
init_break_up_atr,0.08370662
init_break_funding_align_up,0.043399133
cg_oi_range_pct,0.02185234
dfp_short_cover_persist_8h,0.020984234
cg_oi_close,0.014374579
cg_liq_short,0.014070951
dfp_oi_sign_streak,0.013146559
init_break_dn_atr,0.012540669
cg_taker_delta,0.012205535
cg_bfx_margin_delta,0.011693999
cg_funding_close_zscore,0.010991329
return_lag_9,0.0106431395
cg_ls_divergence,0.010041244
cg_liq_imbalance,0.009949204
cg_oi_delta_zscore,0.009899861
cg_oi_delta_mom_1h,0.009892997
long_liq_exhaustion_4h,0.009619392
cg_gls_long_pct,0.009516208
vol_regime,0.009418406
return_lag_1,0.009414904
cg_cb_premium_rate,0.009301763
init_oi_close_corr_12h,0.00916914
init_funding_sign_persist_8h,0.008899244
cg_oi_close_pctchg_8h,0.008328278
dfp_retail_whale_div,0.0081945425
cg_ls_ratio_zscore,0.008110659
init_liq_cluster_imb,0.007888092
cg_oi_close_pctchg_4h,0.007817993
cg_taker_ratio,0.007784288
realized_vol_20b,0.0077612656
cg_conviction,0.007714967
cg_bfx_margin_ratio,0.007547715
return_lag_5,0.007491843
cg_oi_range_zscore,0.007416791
cg_oi_agg_delta,0.00741125
cg_ls_divergence_zscore,0.0073383525
cg_liq_imbalance_zscore,0.0073320135
return_lag_2,0.007297702
cg_ls_ratio,0.007281362
quote_vol_zscore,0.007192937
quote_vol_ratio,0.007104891
dfp_flow_consensus_persist_8h,0.0069384445
cg_cb_premium_rate_zscore,0.006833655
dfp_net_build_8h,0.0068207355
return_lag_6,0.006810877
cg_oi_agg_close,0.0068108123
oi_price_divergence,0.0067580882
cg_oi_close_pctchg_24h,0.0066405083
cg_oi_close_pctchg_12h,0.006555049
hour_sin,0.0064980774
init_liq_short_cluster,0.0064939572
cg_gls_ratio_zscore,0.006385309
cg_oi_delta_slope_4h,0.0063474863
vol_kurtosis,0.0062570274
cg_taker_delta_slope_4h,0.006182992
cg_pos_account_divergence,0.0061768075
vol_acceleration,0.005982694
cg_spot_futures_cvd_divergence,0.0059280857
cvd_persistence_12h,0.0058927867
squeeze_proxy,0.005891091
cg_taker_delta_zscore,0.0058595235
dfp_flow_consensus_zweighted,0.005793898
cg_funding_regime_shift,0.005743961
weekday_cos,0.005713393
weekday_sin,0.0056161336
cg_funding_range,0.0055961227
cg_taker_delta_mom_1h,0.005571262
taker_delta_ma_24h,0.0055229045
cg_ls_long_pct,0.00540827
taker_delta_std_24h,0.00539706
dfp_spot_lead_ratio,0.005396686
cg_liq_total_zscore,0.0053722598
cg_oi_agg_delta_zscore,0.0052948548
init_liq_long_cluster,0.005216253
cg_oi_close_zscore,0.005199419
return_kurtosis,0.0051977956
cg_bfx_margin_ratio_zscore,0.0051467754
vol_entropy,0.005071162
return_lag_4,0.0048597245
cg_oi_accel,0.0047833994
cg_bfx_margin_delta_zscore,0.0047322707
init_funding_d1,0.0046748808
cg_liq_ratio,0.004525651
return_lag_3,0.004508221
return_lag_7,0.0044902167
cg_funding_close_mom_1h,0.004430107
funding_taker_align,0.0044155973
cg_crowding,0.004390809
cg_oi_delta,0.0043349834
cg_cb_premium,0.004218032
cg_oi_upper_shadow,0.0041962145
cg_taker_buy,0.004183307
cg_funding_close_slope_4h,0.0041762064
cg_funding_close_accel,0.00412947
cg_oi_binance_share_zscore,0.004074816
dfp_long_build_persist_8h,0.004069881
cg_gls_ratio,0.0040530264
return_lag_10,0.004016436
cg_funding_close,0.0040049558
cg_oi_delta_accel,0.003954628
taker_delta_ratio,0.0037750874
return_lag_8,0.003615475
cg_oi_binance_share,0.0034513085
init_funding_d2,0.0034267022
oi_8h_non_bull,0.003386991
dfp_liq_short_dom_streak,0.0032958975
cg_liq_total,0.0032886497
dfp_scvd_sign_streak,0.003269421
cg_liq_long,0.0030684732
dfp_scvd_cum_24h_rank,0.003050848
dfp_taker_4h_24h_rank,0.002868432
vol_kurt_non_bear,0.0028034684
dfp_pos_ls_sign_streak,0.002754266
dfp_flow_consensus_signed,0.0026206502
cg_liq_x_oi,0.0021304393
dfp_fcvd_sign_streak,0.0
is_trending_bull,0.0
is_trending_bear,0.0
dfp_fcvd_cum_24h_rank,0.0
dfp_liq_long_dom_streak,0.0
dfp_long_cover_persist_8h,0.0
cg_taker_sell,0.0
dfp_post_long_liq_rev,0.0
dfp_taker_sign_streak,0.0
hour_cos,0.0
cg_ls_short_pct,0.0
init_bo_dn,0.0
init_bo_up_streak,0.0
init_break_funding_align_dn,0.0
cg_gls_short_pct,0.0
cg_taker_delta_accel,0.0
init_oi_bearish_build,0.0
init_oi_bullish_build,0.0
init_bo_dn_streak,0.0
