,0
init_bo_dn,0.16375092
init_break_dn_atr,0.12594546
init_break_funding_align_dn,0.025749555
cg_gls_ratio,0.018571187
init_break_up_atr,0.016073642
cg_ls_long_pct,0.013128633
cg_oi_delta_zscore,0.011824722
init_liq_short_cluster,0.01052049
cg_taker_sell,0.010406717
dfp_fcvd_cum_24h_rank,0.010222191
vol_kurt_non_bear,0.009725757
cg_oi_delta,0.009426018
cg_taker_delta,0.00931618
cg_taker_buy,0.0087299775
init_liq_cluster_imb,0.008372471
dfp_flow_consensus_signed,0.008235411
dfp_retail_whale_div,0.007847047
dfp_scvd_cum_24h_rank,0.007779903
init_liq_long_cluster,0.0077368952
cg_funding_close_mom_1h,0.007218621
taker_delta_ratio,0.0070530255
cg_oi_delta_accel,0.007024268
cg_liq_long,0.006992882
cg_gls_long_pct,0.006982989
cg_oi_range_pct,0.006961702
cg_taker_ratio,0.006725561
cg_cb_premium_rate_zscore,0.0067096823
cg_ls_ratio_zscore,0.0067094658
return_lag_8,0.006708553
cg_bfx_margin_ratio,0.006323388
cg_oi_close_pctchg_4h,0.006280156
cg_pos_account_divergence,0.0062696105
taker_delta_ma_24h,0.006183668
init_oi_close_corr_12h,0.006124967
return_lag_7,0.0061140177
cg_funding_close_accel,0.00610792
cg_bfx_margin_delta_zscore,0.0060563586
cg_funding_close_slope_4h,0.0060535436
cg_oi_agg_delta,0.0060493913
cg_bfx_margin_ratio_zscore,0.006046219
cg_ls_divergence_zscore,0.0060362145
dfp_short_cover_persist_8h,0.0058834106
cg_oi_agg_delta_zscore,0.005854554
return_lag_3,0.0058154752
init_funding_d2,0.0057280897
dfp_oi_sign_streak,0.005695023
oi_price_divergence,0.005691044
cg_oi_close,0.005680365
cg_oi_binance_share_zscore,0.0056743277
cg_cb_premium,0.0056686904
vol_entropy,0.0056650923
return_lag_1,0.005661404
vol_kurtosis,0.005641097
dfp_scvd_sign_streak,0.00549472
cg_oi_binance_share,0.00539656
dfp_spot_lead_ratio,0.005319695
cg_spot_futures_cvd_divergence,0.005318055
cg_bfx_margin_delta,0.0053006033
cg_oi_range_zscore,0.0052093784
dfp_flow_consensus_zweighted,0.0051780916
cg_oi_accel,0.005161263
weekday_cos,0.005157236
funding_taker_align,0.0051502315
cg_oi_close_pctchg_12h,0.005147733
cvd_persistence_12h,0.005110847
return_lag_6,0.005102583
cg_liq_short,0.0050954926
dfp_net_build_8h,0.005072598
realized_vol_20b,0.0050642435
squeeze_proxy,0.005050484
vol_acceleration,0.0050328304
dfp_flow_consensus_persist_8h,0.005017328
cg_oi_close_zscore,0.0050170003
dfp_long_cover_persist_8h,0.005012241
dfp_long_build_persist_8h,0.0050035175
quote_vol_ratio,0.004883544
cg_oi_close_pctchg_8h,0.0048332456
taker_delta_std_24h,0.004807793
cg_funding_close,0.004783023
cg_cb_premium_rate,0.0047457097
cg_crowding,0.0047454415
return_lag_4,0.004728191
oi_8h_non_bull,0.0046828818
cg_taker_delta_slope_4h,0.0046790717
cg_liq_ratio,0.0046621207
cg_funding_range,0.0046350257
cg_oi_close_pctchg_24h,0.004626964
cg_taker_delta_mom_1h,0.0045589255
dfp_liq_long_dom_streak,0.004554112
return_lag_5,0.004530696
return_lag_9,0.004518134
cg_ls_divergence,0.0044798558
cg_oi_delta_slope_4h,0.0044560875
vol_regime,0.004428236
cg_taker_delta_zscore,0.0044057677
cg_liq_imbalance_zscore,0.0043074996
cg_funding_close_zscore,0.0042684455
cg_liq_total_zscore,0.0042188927
cg_conviction,0.004205461
quote_vol_zscore,0.004113022
long_liq_exhaustion_4h,0.004097781
cg_ls_ratio,0.0040870626
cg_taker_delta_accel,0.0040747407
return_lag_10,0.0039721406
cg_oi_agg_close,0.0039578285
init_funding_sign_persist_8h,0.003847743
hour_cos,0.0038401592
init_funding_d1,0.003829218
cg_oi_upper_shadow,0.00382307
hour_sin,0.0037592803
return_lag_2,0.0037223804
cg_liq_imbalance,0.003605639
cg_gls_short_pct,0.0035653117
return_kurtosis,0.0035521786
cg_gls_ratio_zscore,0.0034145627
dfp_taker_4h_24h_rank,0.0033186988
cg_liq_x_oi,0.0032133455
dfp_pos_ls_sign_streak,0.0030632068
is_trending_bear,0.0028806974
weekday_sin,0.0028328013
cg_liq_total,0.0027605135
init_bo_dn_streak,0.002756707
is_trending_bull,0.0
init_oi_bearish_build,0.0
cg_ls_short_pct,0.0
init_break_funding_align_up,0.0
cg_funding_regime_shift,0.0
cg_oi_delta_mom_1h,0.0
init_bo_up_streak,0.0
init_bo_up,0.0
dfp_taker_sign_streak,0.0
dfp_fcvd_sign_streak,0.0
dfp_post_long_liq_rev,0.0
dfp_liq_short_dom_streak,0.0
init_oi_bullish_build,0.0
