okx ctVal map: 473 instruments
liq_recorder: table ready — okx(all SWAP) + bybit(20 syms)
[OK] okx subscribed (1): {"event":"subscribe","arg":{"channel":"liquidation-orders","instType":"SWAP"},"connId":"434bcfb3"}
[OK] bybit subscribed (2): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (3): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (4): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (5): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (6): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (7): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (8): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (9): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (10): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (11): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (12): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (13): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (14): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (15): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (16): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (17): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (18): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (19): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (20): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[OK] bybit subscribed (21): {"success":true,"ret_msg":"","conn_id":"da7tqdmknoaf049d2rrg-2uzww","req_id":"","op":"subscribe"}
[13:13:08] +1 rows (total 1)
[13:13:51] +1 rows (total 2)
[13:14:12] +5 rows (total 7)
[13:14:32] +2 rows (total 9)
[13:15:32] +1 rows (total 10)
[13:15:53] +1 rows (total 11)
[13:17:08] +1 rows (total 12)
[13:17:13] +2 rows (total 14)
[13:17:33] +1 rows (total 15)
[13:17:54] +10 rows (total 25)
[13:18:14] +13 rows (total 38)
[13:18:34] +16 rows (total 54)
[13:19:13] +1 rows (total 55)
[13:19:34] +1 rows (total 56)
[13:21:05] +1 rows (total 57)
[13:21:36] +1 rows (total 58)
[13:21:55] +1 rows (total 59)
[13:22:32] +1 rows (total 60)
