thr_long,thr_short,n_long,n_short,n_total,long_wr,short_wr,combined_wr,fire_rate
0.0003,0.0003,826,1174,2000,0.6174334140435835,0.5945485519591142,0.604,0.5411255411255411
0.0003,0.0005,826,612,1438,0.6174334140435835,0.6699346405228758,0.6397774687065368,0.38906926406926406
0.0003,0.0008,826,390,1216,0.6174334140435835,0.6974358974358974,0.6430921052631579,0.329004329004329
0.0003,0.001,826,290,1116,0.6174334140435835,0.7103448275862069,0.6415770609318996,0.30194805194805197
0.0003,0.0012,826,190,1016,0.6174334140435835,0.7473684210526316,0.6417322834645669,0.2748917748917749
0.0003,0.0015,826,112,938,0.6174334140435835,0.7678571428571429,0.6353944562899787,0.2537878787878788
0.0003,0.002,826,53,879,0.6174334140435835,0.7547169811320755,0.6257110352673493,0.23782467532467533
0.0003,0.0025,826,29,855,0.6174334140435835,0.8275862068965517,0.624561403508772,0.23133116883116883
0.0003,0.003,826,10,836,0.6174334140435835,1.0,0.6220095693779905,0.2261904761904762
0.0005,0.0003,624,1174,1798,0.6410256410256411,0.5945485519591142,0.610678531701891,0.48647186147186144
0.0005,0.0005,624,612,1236,0.6410256410256411,0.6699346405228758,0.6553398058252428,0.3344155844155844
0.0005,0.0008,624,390,1014,0.6410256410256411,0.6974358974358974,0.6627218934911243,0.27435064935064934
0.0005,0.001,624,290,914,0.6410256410256411,0.7103448275862069,0.6630196936542669,0.2472943722943723
0.0005,0.0012,624,190,814,0.6410256410256411,0.7473684210526316,0.6658476658476659,0.22023809523809523
0.0005,0.0015,624,112,736,0.6410256410256411,0.7678571428571429,0.6603260869565217,0.19913419913419914
0.0005,0.002,624,53,677,0.6410256410256411,0.7547169811320755,0.6499261447562777,0.18317099567099568
0.0005,0.0025,624,29,653,0.6410256410256411,0.8275862068965517,0.6493108728943339,0.17667748917748918
0.0005,0.003,624,10,634,0.6410256410256411,1.0,0.6466876971608833,0.17153679653679654
0.0008,0.0003,429,1174,1603,0.6386946386946387,0.5945485519591142,0.6063630692451654,0.4337121212121212
0.0008,0.0005,429,612,1041,0.6386946386946387,0.6699346405228758,0.6570605187319885,0.28165584415584416
0.0008,0.0008,429,390,819,0.6386946386946387,0.6974358974358974,0.6666666666666666,0.2215909090909091
0.0008,0.001,429,290,719,0.6386946386946387,0.7103448275862069,0.6675938803894298,0.19453463203463203
0.0008,0.0012,429,190,619,0.6386946386946387,0.7473684210526316,0.6720516962843296,0.16747835497835498
0.0008,0.0015,429,112,541,0.6386946386946387,0.7678571428571429,0.6654343807763401,0.14637445887445888
0.0008,0.002,429,53,482,0.6386946386946387,0.7547169811320755,0.6514522821576764,0.13041125541125542
0.0008,0.0025,429,29,458,0.6386946386946387,0.8275862068965517,0.6506550218340611,0.12391774891774891
0.0008,0.003,429,10,439,0.6386946386946387,1.0,0.6469248291571754,0.11877705627705627
0.001,0.0003,338,1174,1512,0.6449704142011834,0.5945485519591142,0.6058201058201058,0.4090909090909091
0.001,0.0005,338,612,950,0.6449704142011834,0.6699346405228758,0.6610526315789473,0.25703463203463206
0.001,0.0008,338,390,728,0.6449704142011834,0.6974358974358974,0.6730769230769231,0.19696969696969696
0.001,0.001,338,290,628,0.6449704142011834,0.7103448275862069,0.6751592356687898,0.1699134199134199
0.001,0.0012,338,190,528,0.6449704142011834,0.7473684210526316,0.6818181818181818,0.14285714285714285
0.001,0.0015,338,112,450,0.6449704142011834,0.7678571428571429,0.6755555555555556,0.12175324675324675
0.001,0.002,338,53,391,0.6449704142011834,0.7547169811320755,0.659846547314578,0.1057900432900433
0.001,0.0025,338,29,367,0.6449704142011834,0.8275862068965517,0.659400544959128,0.0992965367965368
0.001,0.003,338,10,348,0.6449704142011834,1.0,0.6551724137931034,0.09415584415584416
0.0012,0.0003,253,1174,1427,0.6561264822134387,0.5945485519591142,0.6054660126138752,0.3860930735930736
0.0012,0.0005,253,612,865,0.6561264822134387,0.6699346405228758,0.6658959537572254,0.23403679653679654
0.0012,0.0008,253,390,643,0.6561264822134387,0.6974358974358974,0.6811819595645412,0.17397186147186147
0.0012,0.001,253,290,543,0.6561264822134387,0.7103448275862069,0.6850828729281768,0.14691558441558442
0.0012,0.0012,253,190,443,0.6561264822134387,0.7473684210526316,0.6952595936794582,0.11985930735930736
0.0012,0.0015,253,112,365,0.6561264822134387,0.7678571428571429,0.6904109589041096,0.09875541125541125
0.0012,0.002,253,53,306,0.6561264822134387,0.7547169811320755,0.673202614379085,0.08279220779220779
0.0012,0.0025,253,29,282,0.6561264822134387,0.8275862068965517,0.6737588652482269,0.0762987012987013
0.0012,0.003,253,10,263,0.6561264822134387,1.0,0.6692015209125475,0.07115800865800866
0.0015,0.0003,180,1174,1354,0.6777777777777778,0.5945485519591142,0.6056129985228951,0.36634199134199136
0.0015,0.0005,180,612,792,0.6777777777777778,0.6699346405228758,0.6717171717171717,0.21428571428571427
0.0015,0.0008,180,390,570,0.6777777777777778,0.6974358974358974,0.6912280701754386,0.15422077922077923
0.0015,0.001,180,290,470,0.6777777777777778,0.7103448275862069,0.6978723404255319,0.12716450216450217
0.0015,0.0012,180,190,370,0.6777777777777778,0.7473684210526316,0.7135135135135136,0.1001082251082251
0.0015,0.0015,180,112,292,0.6777777777777778,0.7678571428571429,0.7123287671232876,0.07900432900432901
0.0015,0.002,180,53,233,0.6777777777777778,0.7547169811320755,0.6952789699570815,0.06304112554112554
0.0015,0.0025,180,29,209,0.6777777777777778,0.8275862068965517,0.6985645933014354,0.05654761904761905
0.0015,0.003,180,10,190,0.6777777777777778,1.0,0.6947368421052632,0.05140692640692641
0.002,0.0003,104,1174,1278,0.7307692307692307,0.5945485519591142,0.6056338028169014,0.3457792207792208
0.002,0.0005,104,612,716,0.7307692307692307,0.6699346405228758,0.6787709497206704,0.1937229437229437
0.002,0.0008,104,390,494,0.7307692307692307,0.6974358974358974,0.7044534412955465,0.13365800865800867
0.002,0.001,104,290,394,0.7307692307692307,0.7103448275862069,0.7157360406091371,0.1066017316017316
0.002,0.0012,104,190,294,0.7307692307692307,0.7473684210526316,0.7414965986394558,0.07954545454545454
0.002,0.0015,104,112,216,0.7307692307692307,0.7678571428571429,0.75,0.05844155844155844
0.002,0.002,104,53,157,0.7307692307692307,0.7547169811320755,0.7388535031847133,0.042478354978354976
0.002,0.0025,104,29,133,0.7307692307692307,0.8275862068965517,0.7518796992481203,0.03598484848484849
0.002,0.003,104,10,114,0.7307692307692307,1.0,0.7543859649122807,0.030844155844155844
0.0025,0.0003,66,1174,1240,0.7272727272727273,0.5945485519591142,0.6016129032258064,0.3354978354978355
0.0025,0.0005,66,612,678,0.7272727272727273,0.6699346405228758,0.6755162241887905,0.18344155844155843
0.0025,0.0008,66,390,456,0.7272727272727273,0.6974358974358974,0.7017543859649122,0.12337662337662338
0.0025,0.001,66,290,356,0.7272727272727273,0.7103448275862069,0.7134831460674157,0.09632034632034632
