metric,raw,cal
n,3696.0,3629.0
ic,0.17004653245521495,0.1429527481742599
sign_auc,0.5931701310186893,0.5773133415230132
thr_0.001_n,628.0,1138.0
thr_0.001_wr,0.6751592356687898,0.616871704745167
thr_0.002_n,157.0,546.0
thr_0.002_wr,0.7388535031847133,0.6318681318681318
thr_0.003_n,51.0,229.0
thr_0.003_wr,0.8235294117647058,0.6724890829694323
thr_0.005_n,8.0,113.0
thr_0.005_wr,0.875,0.6991150442477876
thr_0.008_n,0.0,36.0
thr_0.008_wr,,0.7222222222222222
top_5pct_n,184.0,181.0
top_5pct_wr,0.7282608695652174,0.6906077348066298
top_10pct_n,369.0,362.0
top_10pct_wr,0.7154471544715447,0.643646408839779
top_20pct_n,739.0,725.0
top_20pct_wr,0.6725304465493911,0.6482758620689655
