method,horizon,k,use_direction_features,use_existing_features,n_valid,n_neutral_dropped,up_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,top10_precision,bot10_precision,mean_calibration_error,calibration_monotonic,n_features,elapsed_s,auc_fold1,auc_fold2,auc_fold3,auc_fold4,auc_fold5
raw_sign,1,0.0,False,True,3837,1,0.49674224654678134,0.5244695025177812,0.5135598219779421,0.5258215962441315,0.5200918484500574,0.571608832807571,0.5446348061316502,0.5203761755485894,0.5454545454545454,0.0282133827722572,0.5555555555555556,112,0.7448365688323975,0.5336206896551725,0.5210657907638003,0.5291038154392191,0.5374333385616814,0.5207398334149926
deadzone,1,0.5,False,True,1974,1864,0.49544072948328266,0.5339269610566363,0.5225781177918454,0.5159509202453988,0.5207612456747405,0.37023370233702335,0.4327821710999281,0.5214723926380368,0.5214723926380368,0.04009291291625122,0.4444444444444444,112,0.400714635848999,0.5240369496855346,0.5717695980286462,0.5235714285714286,0.5430245535714285,0.5348926720947447
triple_barrier,1,0.5,False,True,3394,444,0.4952857984678845,0.5224531362339828,0.49926906501701035,0.5184125849124062,0.5136570561456753,0.4895155459146782,0.5012958163643095,0.4731182795698925,0.5483870967741935,0.03373921544046445,0.5555555555555556,112,0.6682424545288086,0.5394335394335394,0.5128216335926801,0.5132416899658279,0.5104754034610149,0.5476190476190477
raw_sign,2,0.0,False,True,3836,2,0.4994786235662148,0.5393193771439185,0.5289645592936114,0.5276995305164319,0.5234729934376577,0.6473158551810237,0.5788445436784817,0.5329153605015674,0.5329153605015674,0.024758453480620828,0.4444444444444444,112,0.5772433280944824,0.5194120529152376,0.6031021718156221,0.5240532945546014,0.5137441222570533,0.5657010133479684
deadzone,2,0.5,False,True,2417,1421,0.4931733553992553,0.50838307421222,0.5082030971860644,0.5060120240480962,0.5046826222684704,0.48743718592964824,0.49591002044989774,0.5025125628140703,0.4723618090452262,0.04670023906275468,0.3333333333333333,112,0.6440091133117676,0.47822149387614277,0.5106936416184971,0.497777338733577,0.5238024363436526,0.5377141118163639
triple_barrier,2,0.5,False,True,3682,156,0.4926670287887018,0.5247914608479017,0.5066423755982907,0.5222804718217562,0.515918958031838,0.47470039946737685,0.4944521497919556,0.49836065573770494,0.5639344262295082,0.0256893702015548,0.5555555555555556,112,0.7542495727539062,0.5226699682281243,0.5019972050774426,0.5470761686684527,0.5364620053336604,0.5622564010313604
raw_sign,4,0.0,False,True,3834,4,0.49400104329681793,0.5489177925130271,0.5276137726174142,0.529264475743349,0.5310206804536357,0.49843456480901693,0.5142118863049095,0.5611285266457681,0.5705329153605015,0.03437331212885787,0.5555555555555556,112,0.5957019329071045,0.5177997333960636,0.5895196723592915,0.5145061728395062,0.5701598840057214,0.5363059760018822
deadzone,4,0.5,False,True,2808,1030,0.4935897435897436,0.5438656419015085,0.5436118766775628,0.5369733447979363,0.5435267857142857,0.42164502164502166,0.47489029741589467,0.5991379310344828,0.5474137931034483,0.04162370203701334,0.7777777777777778,112,0.556065559387207,0.4928799361786997,0.6576256684491978,0.5377926997245179,0.5468171296296297,0.5136540084388186
triple_barrier,4,0.5,False,True,3779,59,0.4919290817676634,0.5261795040685997,0.5032076742754883,0.5259636827014973,0.5157644259369423,0.5626216742375081,0.5381750465549349,0.5079872204472844,0.5623003194888179,0.025765385098625426,0.5555555555555556,112,0.6463639736175537,0.518270944741533,0.4986443456603298,0.5211943481738203,0.508446379558873,0.5610487996851633
raw_sign,8,0.0,False,True,3829,9,0.4855053538782972,0.5413115999471528,0.5452969285614488,0.5178683385579937,0.5103244837758112,0.44189016602809705,0.4736481861738535,0.6394984326018809,0.5642633228840126,0.03919113088663176,0.5555555555555556,112,0.8202385902404785,0.4755765425083762,0.6296503496503496,0.45234976502349766,0.53643831856325,0.6045958083832336
deadzone,8,0.5,False,True,3113,725,0.4796016704143913,0.5530970206264324,0.5736934556936838,0.538882375928097,0.5368421052631579,0.408,0.4636363636363636,0.7450980392156863,0.5607843137254902,0.04570189193153148,0.5555555555555556,112,0.6462328433990479,0.5134452147994557,0.7098143144183467,0.4898275335775336,0.5112996389891696,0.525114718866171
triple_barrier,8,0.5,False,True,3822,16,0.49188906331763477,0.5165367132562766,0.506418787869793,0.5169811320754717,0.5074370709382151,0.5678617157490397,0.5359516616314199,0.5125786163522013,0.5,0.04321396176901314,0.5555555555555556,112,0.8013429641723633,0.5394144596712614,0.5144529383659818,0.5460444684598142,0.5003236944324558,0.5553496126311661
