method,horizon,k,use_direction_features,use_existing_features,n_valid,n_neutral_dropped,up_rate,roc_auc,pr_auc,accuracy,precision,recall,f1,top10_precision,bot10_precision,mean_calibration_error,calibration_monotonic,n_features,elapsed_s,auc_fold1,auc_fold2,auc_fold3,auc_fold4,auc_fold5
deadzone,1,0.5,False,True,1974,1864,0.49544072948328266,0.5339269610566363,0.5225781177918454,0.5159509202453988,0.5207612456747405,0.37023370233702335,0.4327821710999281,0.5214723926380368,0.5214723926380368,0.04009291291625122,0.4444444444444444,112,0.5646491050720215,0.5240369496855346,0.5717695980286462,0.5235714285714286,0.5430245535714285,0.5348926720947447
deadzone,1,0.5,True,False,1974,1864,0.49544072948328266,0.5380189726009867,0.5372190842926423,0.5159509202453988,0.5142857142857142,0.5313653136531366,0.5226860254083484,0.5950920245398773,0.5889570552147239,0.02934600682893363,0.6666666666666666,43,1.026275873184204,0.5142885220125787,0.5039786436675394,0.5216071428571428,0.5489583333333333,0.5819985196151
deadzone,1,0.5,True,True,1974,1864,0.49544072948328266,0.5347444600516997,0.5251511049596179,0.5306748466257669,0.5266666666666666,0.5830258302583026,0.553415061295972,0.5214723926380368,0.5276073619631902,0.026066539725127597,0.5555555555555556,155,1.2627713680267334,0.5031446540880503,0.5762359464038195,0.51025,0.5319940476190477,0.5632272390821613
triple_barrier,1,0.5,False,True,3394,444,0.4952857984678845,0.5224531362339828,0.49926906501701035,0.5184125849124062,0.5136570561456753,0.4895155459146782,0.5012958163643095,0.4731182795698925,0.5483870967741935,0.03373921544046445,0.5555555555555556,112,0.6678533554077148,0.5394335394335394,0.5128216335926801,0.5132416899658279,0.5104754034610149,0.5476190476190477
triple_barrier,1,0.5,True,False,3394,444,0.4952857984678845,0.5217011784847527,0.5099223153576851,0.5134072220235967,0.5076071922544951,0.5307302964569776,0.5189112760692824,0.5017921146953405,0.5878136200716846,0.029703309312585746,0.7777777777777778,43,1.0963540077209473,0.5554985554985554,0.525584987032666,0.500763694729212,0.508445945945946,0.534806773088023
triple_barrier,1,0.5,True,True,3394,444,0.4952857984678845,0.5305208937379639,0.5148632949567702,0.5237754737218449,0.5176960444136016,0.5394070860448301,0.5283286118980169,0.5161290322580645,0.5304659498207885,0.03244265791883182,0.6666666666666666,155,1.7299079895019531,0.5325620325620326,0.53992190459539,0.5226584342963654,0.5056265798172273,0.5569083694083694
deadzone,2,0.5,False,True,2417,1421,0.4931733553992553,0.50838307421222,0.5082030971860644,0.5060120240480962,0.5046826222684704,0.48743718592964824,0.49591002044989774,0.5025125628140703,0.4723618090452262,0.04670023906275468,0.3333333333333333,112,0.6322557926177979,0.47822149387614277,0.5106936416184971,0.497777338733577,0.5238024363436526,0.5377141118163639
deadzone,2,0.5,True,False,2417,1421,0.4931733553992553,0.5323912268635888,0.5328905841945757,0.5270541082164328,0.5232876712328767,0.5758793969849246,0.5483253588516747,0.5527638190954773,0.48743718592964824,0.025725199272567244,0.6666666666666666,43,0.9475846290588379,0.5279311137944914,0.5521242774566475,0.5539365800651981,0.5110024729803994,0.5236827232414573
deadzone,2,0.5,True,True,2417,1421,0.4931733553992553,0.5166185573220748,0.4967036119631999,0.5190380761523046,0.5169082125603864,0.5376884422110553,0.5270935960591133,0.47738693467336685,0.542713567839196,0.029824775920240902,0.3333333333333333,155,1.5088551044464111,0.5304899085734001,0.5176300578034683,0.4831571668477724,0.5209516394944129,0.5743630988609686
triple_barrier,2,0.5,False,True,3682,156,0.4926670287887018,0.5247914608479017,0.5066423755982907,0.5222804718217562,0.515918958031838,0.47470039946737685,0.4944521497919556,0.49836065573770494,0.5639344262295082,0.0256893702015548,0.5555555555555556,112,0.7280797958374023,0.5226699682281243,0.5019972050774426,0.5470761686684527,0.5364620053336604,0.5622564010313604
triple_barrier,2,0.5,True,False,3682,156,0.4926670287887018,0.5217293071603453,0.5142125922322882,0.5170380078636959,0.5086741016109045,0.5466045272969374,0.5269576379974326,0.5442622950819672,0.4688524590163935,0.03471347583043102,0.5555555555555556,43,1.087512493133545,0.5602308831676899,0.5038896005589845,0.5050062645813532,0.5353993603694734,0.5300713557594291
triple_barrier,2,0.5,True,True,3682,156,0.4926670287887018,0.5394894978738026,0.5200176432124306,0.5340760157273918,0.5256081946222791,0.5466045272969374,0.5359007832898173,0.521311475409836,0.5114754098360657,0.028592624619309132,0.5555555555555556,155,1.4682178497314453,0.5416652533270016,0.5236695004075929,0.564498185431608,0.5331412398205764,0.5443525014491016
deadzone,4,0.5,False,True,2808,1030,0.4935897435897436,0.5438656419015085,0.5436118766775628,0.5369733447979363,0.5435267857142857,0.42164502164502166,0.47489029741589467,0.5991379310344828,0.5474137931034483,0.04162370203701334,0.7777777777777778,112,0.5342159271240234,0.4928799361786997,0.6576256684491978,0.5377926997245179,0.5468171296296297,0.5136540084388186
deadzone,4,0.5,True,False,2808,1030,0.4935897435897436,0.5165540977667366,0.5063423555698991,0.5081685296646603,0.5038009675190048,0.6311688311688312,0.5603382013835511,0.4827586206896552,0.5129310344827587,0.027990145388936342,0.4444444444444444,43,0.981147050857544,0.48330674112485045,0.5204491978609626,0.5149506427915519,0.5096974206349206,0.5398143459915612
deadzone,4,0.5,True,True,2808,1030,0.4935897435897436,0.5322571820436892,0.523268254365433,0.5399828030954428,0.5501770956316411,0.40346320346320347,0.46553446553446554,0.5560344827586207,0.5517241379310345,0.039656474371940156,0.5555555555555556,155,1.5119354724884033,0.4662544874351815,0.654812834224599,0.5439814814814814,0.5364583333333334,0.5518481012658227
triple_barrier,4,0.5,False,True,3779,59,0.4919290817676634,0.5261795040685997,0.5032076742754883,0.5259636827014973,0.5157644259369423,0.5626216742375081,0.5381750465549349,0.5079872204472844,0.5623003194888179,0.025765385098625426,0.5555555555555556,112,0.6460118293762207,0.518270944741533,0.4986443456603298,0.5211943481738203,0.508446379558873,0.5610487996851633
triple_barrier,4,0.5,True,False,3779,59,0.4919290817676634,0.5273001050144608,0.51219237563519,0.5211850907932463,0.5108077360637088,0.5827384815055159,0.5444073961806608,0.5271565495207667,0.5814696485623003,0.019163206181855703,0.6666666666666666,43,1.0841529369354248,0.5619377162629757,0.5105142028437215,0.512222381723848,0.537246016231266,0.5323297914207006
triple_barrier,4,0.5,True,True,3779,59,0.4919290817676634,0.5374222645276096,0.511459258988696,0.5294679834342148,0.5180180180180181,0.5970149253731343,0.5547181187820319,0.5175718849840255,0.5718849840255591,0.02813607164096272,0.6666666666666666,155,1.8695096969604492,0.5433155080213903,0.5107033639143731,0.5370157701536,0.54601820587248,0.5415289256198347
