feature,importance
cg_oi_agg_close,0.02216272
cg_oi_binance_share,0.020802557
cg_oi_close,0.020291079
cg_oi_close_pctchg_8h,0.01929313
cg_funding_close,0.018970894
cg_ls_short_pct,0.01870713
cg_ls_long_pct,0.018597621
vol_entropy,0.018119395
realized_vol_20b,0.017966196
cg_gls_ratio_zscore,0.017921727
return_kurtosis,0.01791093
cg_funding_close_zscore,0.0177267
cg_oi_close_zscore,0.017312026
cg_ls_ratio_zscore,0.017265012
weekday_sin,0.017125905
vol_kurtosis,0.016871862
hour_sin,0.016368417
taker_delta_std_24h,0.01616058
cg_crowding,0.015917132
hour_cos,0.01581762
cg_oi_binance_share_zscore,0.015344113
oi_price_divergence,0.015149615
cg_ls_divergence_zscore,0.015128818
cg_oi_close_pctchg_4h,0.01496782
cg_gls_long_pct,0.0149484025
vol_acceleration,0.014856072
cg_oi_close_pctchg_24h,0.014441368
return_lag_5,0.014133975
return_lag_4,0.013855501
vol_regime,0.013802622
cg_oi_upper_shadow,0.013647124
taker_delta_ma_24h,0.013625789
cg_ls_divergence,0.013608488
funding_taker_align,0.013504793
cg_gls_short_pct,0.013048734
quote_vol_zscore,0.01285382
cg_oi_delta,0.012674319
cg_funding_close_slope_4h,0.012524222
quote_vol_ratio,0.012445171
cg_oi_delta_slope_4h,0.01228875
cg_conviction,0.011902787
cg_liq_total_zscore,0.011871609
return_lag_7,0.011703654
cg_oi_range_zscore,0.011487321
cg_ls_ratio,0.011456648
cg_liq_long,0.011426997
cg_funding_range,0.011383851
cg_taker_buy,0.011273859
cg_oi_close_pctchg_12h,0.011263015
return_lag_9,0.011136516
squeeze_proxy,0.011083637
cg_taker_sell,0.0110373935
cg_taker_delta_slope_4h,0.011033431
return_lag_6,0.010765603
cg_funding_close_mom_1h,0.01042825
return_lag_10,0.010345198
cg_oi_delta_zscore,0.010153408
weekday_cos,0.009919583
cg_taker_delta_mom_1h,0.009676917
cg_oi_range_pct,0.009566347
cg_oi_accel,0.0092692645
return_lag_8,0.009172529
return_lag_3,0.009089248
cg_gls_ratio,0.009061432
return_lag_2,0.008976419
cg_liq_short,0.008874332
cg_liq_ratio,0.008794709
cg_liq_total,0.0077926624
cg_liq_imbalance,0.0077137128
cg_taker_delta_zscore,0.007642626
cg_liq_x_oi,0.007573709
cg_liq_imbalance_zscore,0.007411548
cg_oi_agg_delta,0.007260818
cg_oi_agg_delta_zscore,0.0072480347
return_lag_1,0.0070959143
taker_delta_ratio,0.0067221215
cg_taker_delta,0.006089333
cg_oi_delta_mom_1h,0.003996751
cg_taker_ratio,0.0031406519
