feature,importance
cg_oi_agg_close,0.019498438
cg_oi_close_pctchg_8h,0.017250838
cg_oi_close,0.01673506
cg_crowding,0.016292812
cg_pos_account_divergence,0.016067762
cg_oi_binance_share,0.015736423
cg_pos_ls_ratio,0.01545864
cg_pos_long_pct,0.015411952
cg_ls_short_pct,0.015212438
cg_scvd_cum,0.015143282
cg_bfx_margin_delta,0.014815758
cg_funding_close_zscore,0.014585874
cg_bfx_margin_long,0.014213496
cg_bfx_margin_ratio_zscore,0.01418495
cg_fcvd_cum,0.014026686
cg_ls_long_pct,0.014013899
vol_entropy,0.013978172
realized_vol_20b,0.013796178
hour_cos,0.013685161
cg_funding_close,0.013562567
cg_oi_close_zscore,0.01336941
cg_gls_ratio_zscore,0.013332428
cg_pos_ls_ratio_zscore,0.013276075
cg_bfx_margin_short,0.013172678
cg_ls_ratio_zscore,0.013064749
cg_bfx_margin_delta_zscore,0.012989058
cg_bfx_margin_ratio,0.01271051
cg_cb_premium_rate,0.012488512
cg_pos_short_pct,0.012316307
vol_kurtosis,0.011978644
vol_regime,0.011938347
return_kurtosis,0.011910402
vol_acceleration,0.011885957
cg_oi_close_pctchg_4h,0.011842602
weekday_sin,0.011700001
cg_gls_long_pct,0.011476469
taker_delta_std_24h,0.011208431
cg_oi_close_pctchg_24h,0.011001951
cg_ls_divergence,0.010803067
cg_cb_premium_rate_zscore,0.010620219
cg_margin_funding_align,0.010520387
cg_spot_futures_cvd_divergence,0.010466966
cg_ls_divergence_zscore,0.010442949
cg_oi_binance_share_zscore,0.010147088
cg_ls_ratio,0.009983108
return_lag_5,0.009974319
return_lag_4,0.009784581
taker_delta_ma_24h,0.00975214
funding_taker_align,0.009629549
cg_oi_upper_shadow,0.009454281
quote_vol_zscore,0.009365916
cg_cb_premium,0.009344747
cg_oi_range_zscore,0.0092859445
cg_funding_range,0.008957213
oi_price_divergence,0.008753897
cg_oi_delta_slope_4h,0.008625216
cg_scvd_delta,0.008609452
cg_oi_close_pctchg_12h,0.008592919
hour_sin,0.008576672
cg_funding_close_slope_4h,0.008393004
cg_gls_ratio,0.00802564
cg_scvd_delta_zscore,0.0080027655
cg_scvd_buy,0.0077107605
cg_conviction,0.0077057565
cg_gls_short_pct,0.0076798424
cg_scvd_sell,0.0076587526
return_lag_9,0.0070487345
cg_liq_total_zscore,0.0069770776
cg_oi_delta,0.0069635
cg_fcvd_sell,0.006861946
cg_taker_delta_slope_4h,0.0068438123
cg_taker_buy,0.006646263
squeeze_proxy,0.006548747
quote_vol_ratio,0.0063605183
return_lag_8,0.00629381
weekday_cos,0.006218532
cg_liq_exchange_vs_agg,0.006160912
cg_oi_range_pct,0.006097566
cg_oi_accel,0.0059090545
return_lag_7,0.0058097257
return_lag_6,0.0057881163
cg_liq_agg_long,0.005666885
cg_liq_agg_imbalance,0.0054322816
cg_fcvd_buy,0.0053974576
return_lag_10,0.0053446144
cg_liq_imbalance,0.0052034124
cg_oi_delta_zscore,0.005155931
return_lag_3,0.0049824733
cg_liq_long,0.004879031
cg_taker_delta_mom_1h,0.0048271576
cg_fcvd_delta,0.0047959676
return_lag_2,0.0046810056
cg_funding_close_mom_1h,0.0045204433
cg_liq_ratio,0.0044486006
cg_oi_agg_delta_zscore,0.0043257503
cg_taker_delta_zscore,0.0043235617
cg_taker_sell,0.004109615
cg_taker_delta,0.0040218094
return_lag_1,0.0038872361
cg_liq_short,0.0037833457
cg_liq_imbalance_zscore,0.0034209285
cg_liq_x_oi,0.0033769268
cg_oi_agg_delta,0.003276611
cg_taker_ratio,0.003247953
cg_oi_delta_mom_1h,0.0030366217
cg_liq_agg_imbalance_zscore,0.0028542965
cg_fcvd_delta_zscore,0.0026024834
cg_liq_agg_short,0.0025392093
cg_liq_agg_total,0.002119672
cg_liq_total,0.0018242652
cg_oi_cm_close,0.0018140785
taker_delta_ratio,0.00065243547
cg_oi_cm_delta,0.00035166286
cg_oi_cm_vs_usd,0.00023204855
cg_oi_cm_delta_zscore,0.00013585083
