feature,importance
cg_oi_agg_close,0.023371706
cg_oi_binance_share,0.020309059
cg_oi_close_pctchg_8h,0.020090044
cg_ls_short_pct,0.020042852
cg_oi_close,0.019768478
vol_entropy,0.018617472
cg_bfx_margin_delta,0.018493317
realized_vol_20b,0.018207308
cg_funding_close_zscore,0.01815157
cg_crowding,0.017517664
cg_bfx_margin_ratio,0.017331336
return_kurtosis,0.017214796
cg_funding_close,0.017000971
hour_cos,0.016845677
cg_gls_ratio_zscore,0.016830238
vol_acceleration,0.01678314
cg_oi_close_zscore,0.016684119
cg_bfx_margin_delta_zscore,0.016553005
cg_ls_long_pct,0.015863687
cg_ls_ratio_zscore,0.01569293
cg_bfx_margin_ratio_zscore,0.015318875
vol_regime,0.015019641
cg_oi_close_pctchg_4h,0.01474814
oi_price_divergence,0.014653012
vol_kurtosis,0.014536916
cg_ls_divergence,0.0143474685
taker_delta_std_24h,0.01423433
cg_oi_close_pctchg_24h,0.014187173
cg_ls_divergence_zscore,0.013996103
return_lag_4,0.0139131285
cg_oi_close_pctchg_12h,0.013811017
cg_ls_ratio,0.01378862
cg_gls_long_pct,0.01372433
cg_oi_binance_share_zscore,0.013581189
weekday_sin,0.013559716
hour_sin,0.013276362
return_lag_5,0.013202709
cg_taker_buy,0.012765442
quote_vol_zscore,0.012732304
weekday_cos,0.01264919
taker_delta_ma_24h,0.0122498935
cg_gls_short_pct,0.012143907
funding_taker_align,0.012032117
cg_oi_range_pct,0.011816908
cg_oi_range_zscore,0.011735681
cg_oi_upper_shadow,0.011559237
cg_liq_long,0.011267618
cg_funding_range,0.011072934
quote_vol_ratio,0.010923043
cg_funding_close_slope_4h,0.010835294
cg_oi_delta_slope_4h,0.010759512
cg_liq_total_zscore,0.010680875
cg_conviction,0.010595673
return_lag_9,0.01027849
return_lag_7,0.010182424
cg_oi_delta,0.009632641
cg_taker_sell,0.009472238
cg_taker_delta_slope_4h,0.009426488
return_lag_8,0.009418842
cg_oi_accel,0.009088725
cg_taker_delta_mom_1h,0.008669875
cg_funding_close_mom_1h,0.008556711
squeeze_proxy,0.008511457
return_lag_6,0.008290319
cg_liq_ratio,0.007730046
cg_oi_delta_zscore,0.0076894606
return_lag_3,0.007544549
taker_delta_ratio,0.0071032303
return_lag_1,0.0070474404
cg_liq_imbalance,0.0068296404
return_lag_2,0.006418811
cg_liq_x_oi,0.00632544
cg_taker_delta_zscore,0.005916473
cg_taker_delta,0.005805727
cg_oi_agg_delta,0.0057443017
cg_liq_total,0.005605267
return_lag_10,0.0055149863
cg_liq_short,0.004995351
cg_liq_imbalance_zscore,0.0049038576
cg_gls_ratio,0.00473154
cg_oi_delta_mom_1h,0.004454479
cg_taker_ratio,0.0038099312
cg_oi_agg_delta_zscore,0.003213548
