feature,importance
cg_oi_agg_close,0.022550521
cg_oi_close,0.020615013
cg_oi_close_pctchg_8h,0.019799309
cg_oi_binance_share,0.019357603
cg_crowding,0.018806383
cg_funding_close_zscore,0.01854083
cg_funding_close,0.017900731
realized_vol_20b,0.017777236
cg_cb_premium_rate,0.017776297
cg_ls_ratio_zscore,0.017578173
cg_ls_short_pct,0.017575195
return_kurtosis,0.017377429
vol_entropy,0.017274853
cg_ls_long_pct,0.01718021
cg_gls_ratio_zscore,0.017096926
cg_cb_premium,0.01675673
cg_oi_close_zscore,0.016422167
hour_cos,0.016173784
cg_oi_close_pctchg_4h,0.016088877
cg_gls_long_pct,0.015978042
weekday_sin,0.015804047
hour_sin,0.015698858
vol_regime,0.014959128
taker_delta_std_24h,0.014886678
vol_kurtosis,0.01485642
vol_acceleration,0.014556265
cg_ls_ratio,0.0143736275
cg_ls_divergence_zscore,0.014200836
cg_ls_divergence,0.014098917
oi_price_divergence,0.013995846
cg_funding_range,0.013934414
return_lag_4,0.0139026055
cg_oi_upper_shadow,0.013889315
cg_oi_close_pctchg_24h,0.013863893
cg_cb_premium_rate_zscore,0.013760331
return_lag_5,0.013612584
quote_vol_zscore,0.013362882
taker_delta_ma_24h,0.013115846
cg_oi_binance_share_zscore,0.012990257
weekday_cos,0.012869297
cg_gls_short_pct,0.012434214
cg_funding_close_slope_4h,0.012109268
cg_oi_range_pct,0.012063304
cg_liq_long,0.012026394
cg_oi_delta,0.011998006
quote_vol_ratio,0.011794853
funding_taker_align,0.0117745595
cg_taker_buy,0.011621259
return_lag_7,0.011484783
cg_oi_delta_zscore,0.011484168
cg_liq_total_zscore,0.010946925
cg_oi_close_pctchg_12h,0.010444562
return_lag_9,0.010377825
return_lag_10,0.010317897
cg_taker_sell,0.010060556
cg_conviction,0.00990416
cg_oi_range_zscore,0.009843663
cg_taker_delta_slope_4h,0.009707759
cg_oi_delta_slope_4h,0.009127269
return_lag_3,0.009079265
return_lag_6,0.008884286
cg_oi_accel,0.008687602
squeeze_proxy,0.008687333
return_lag_8,0.008322197
cg_gls_ratio,0.0082376
cg_taker_delta_mom_1h,0.0081584295
cg_funding_close_mom_1h,0.0076498366
cg_oi_agg_delta_zscore,0.0073250113
cg_liq_ratio,0.0070944005
return_lag_2,0.006883714
cg_liq_short,0.006392421
cg_taker_delta_zscore,0.00613991
cg_liq_total,0.006013566
return_lag_1,0.005745176
cg_taker_delta,0.0055174218
cg_liq_imbalance,0.0054159346
cg_liq_x_oi,0.005319612
cg_oi_agg_delta,0.0052744956
taker_delta_ratio,0.0049244794
cg_liq_imbalance_zscore,0.004514709
cg_oi_delta_mom_1h,0.0029688107
cg_taker_ratio,0.0018840152
