feature,importance
cg_oi_agg_close,0.021199781
cg_oi_close_pctchg_8h,0.020541633
cg_oi_binance_share,0.019526672
cg_bfx_margin_delta,0.018617176
cg_funding_close,0.018497542
cg_oi_close,0.018339764
cg_pos_account_divergence,0.017861841
vol_entropy,0.016788257
realized_vol_20b,0.016139861
cg_funding_close_zscore,0.016038258
cg_gls_ratio_zscore,0.01578157
cg_cb_premium_rate,0.015726253
weekday_sin,0.015654197
cg_bfx_margin_ratio,0.015645612
return_kurtosis,0.015606202
taker_delta_std_24h,0.015547067
vol_kurtosis,0.015544879
cg_bfx_margin_delta_zscore,0.015521542
cg_ls_ratio_zscore,0.015393575
cg_oi_close_zscore,0.015081836
cg_crowding,0.014933472
cg_cb_premium,0.014830762
hour_cos,0.014783313
cg_ls_long_pct,0.014722686
cg_bfx_margin_ratio_zscore,0.01469226
cg_ls_short_pct,0.014331516
cg_ls_divergence,0.013932787
cg_oi_close_pctchg_4h,0.0138885155
hour_sin,0.01357877
cg_gls_long_pct,0.013541911
return_lag_4,0.013424177
vol_regime,0.01336561
vol_acceleration,0.013191165
cg_spot_futures_cvd_divergence,0.012940481
cg_oi_close_pctchg_24h,0.012637786
cg_oi_binance_share_zscore,0.012503285
cg_taker_buy,0.0121225985
cg_ls_divergence_zscore,0.012063409
oi_price_divergence,0.012041174
cg_funding_close_slope_4h,0.012038226
cg_cb_premium_rate_zscore,0.011916147
return_lag_5,0.01171971
cg_oi_range_pct,0.0117117725
cg_oi_range_zscore,0.011707415
cg_ls_ratio,0.011583725
taker_delta_ma_24h,0.011553766
cg_gls_short_pct,0.011404205
funding_taker_align,0.011278052
quote_vol_zscore,0.011170538
cg_funding_range,0.010844061
return_lag_8,0.010482132
cg_oi_upper_shadow,0.010266964
return_lag_7,0.010224135
quote_vol_ratio,0.00981971
return_lag_9,0.00968575
cg_taker_sell,0.009565015
cg_liq_total_zscore,0.009393419
weekday_cos,0.009360069
squeeze_proxy,0.009129104
cg_conviction,0.008871008
cg_oi_delta,0.0087487
cg_oi_delta_slope_4h,0.0085254405
return_lag_3,0.008302813
cg_oi_close_pctchg_12h,0.008256262
cg_liq_long,0.0082411
cg_oi_delta_mom_1h,0.008098156
cg_taker_delta_slope_4h,0.007995581
cg_oi_delta_zscore,0.007982554
return_lag_6,0.007512768
return_lag_2,0.0071605104
return_lag_10,0.0069719646
cg_oi_accel,0.0069039157
cg_liq_ratio,0.0065988656
cg_liq_short,0.006564795
cg_liq_x_oi,0.006463152
cg_funding_close_mom_1h,0.0063626757
cg_liq_total,0.0062217256
cg_gls_ratio,0.0059376024
cg_taker_delta_mom_1h,0.0058275787
return_lag_1,0.0057584513
cg_liq_imbalance_zscore,0.005654357
cg_oi_agg_delta,0.0053138137
cg_taker_delta,0.0052017765
taker_delta_ratio,0.0046669845
cg_oi_agg_delta_zscore,0.004390727
cg_taker_delta_zscore,0.0043215663
cg_liq_imbalance,0.004074883
cg_taker_ratio,0.0016371695
