feature,importance
cg_oi_agg_close,0.018564159
cg_oi_binance_share,0.01778188
hour_cos,0.017454298
cg_pos_account_divergence,0.017298723
cg_oi_close,0.017111342
vol_entropy,0.01710715
return_kurtosis,0.017064082
cg_ls_short_pct,0.01688226
realized_vol_20b,0.01655565
vol_acceleration,0.016302558
cg_oi_close_pctchg_8h,0.016115317
cg_bfx_margin_delta,0.01589665
impact_asymmetry_zscore,0.015640529
cg_bfx_margin_ratio,0.0155120455
cg_gls_ratio_zscore,0.015198
vol_regime,0.014953217
cg_ls_ratio_zscore,0.01471245
taker_delta_std_24h,0.014422293
vol_kurtosis,0.014154549
impact_asymmetry,0.013994752
cg_oi_binance_share_zscore,0.01388615
cg_bfx_margin_ratio_zscore,0.013684039
cg_oi_close_pctchg_4h,0.013605029
cg_oi_close_pctchg_24h,0.013556355
weekday_sin,0.013449991
cg_bfx_margin_delta_zscore,0.013323667
return_lag_5,0.013289089
cg_ls_long_pct,0.013142936
cg_gls_short_pct,0.013072958
cg_cb_premium_rate,0.012814047
cg_funding_close,0.012691826
cg_funding_close_zscore,0.012629433
oi_price_divergence,0.0125341145
cg_gls_long_pct,0.012242697
cg_cb_premium_rate_zscore,0.012201272
cg_ls_divergence,0.012200381
taker_delta_ma_24h,0.012193994
weekday_cos,0.011621409
cg_oi_close_zscore,0.0115131335
cg_ls_divergence_zscore,0.0112203555
return_lag_4,0.011116165
cg_spot_futures_cvd_divergence,0.010835944
cg_funding_range,0.010763801
cg_cb_premium,0.010452369
funding_taker_align,0.010415289
price_impact_zscore,0.010237355
cg_oi_upper_shadow,0.010218842
cg_crowding,0.010059575
cg_conviction,0.010045749
fragility,0.009770727
cg_taker_sell,0.009767602
return_lag_7,0.009531322
cg_funding_close_slope_4h,0.009501119
quote_vol_ratio,0.009430079
cg_ls_ratio,0.009407164
fragility_zscore,0.009356858
price_impact,0.009251776
cg_oi_close_pctchg_12h,0.0092448015
cg_oi_range_zscore,0.009108334
hour_sin,0.009103703
cg_liq_long,0.008990536
cg_liq_total_zscore,0.008860149
return_lag_6,0.008816713
cg_oi_range_pct,0.008733953
cg_oi_delta_slope_4h,0.008466567
cg_taker_delta_slope_4h,0.008405573
quote_vol_zscore,0.00836119
squeeze_proxy,0.008191991
return_lag_10,0.007917583
cg_taker_buy,0.007850253
cg_liq_short,0.0078201555
return_lag_9,0.0076766727
return_lag_3,0.007449712
cg_oi_delta_zscore,0.0073826187
cg_oi_accel,0.0071183112
cg_oi_delta,0.0070270137
return_lag_8,0.006941626
cg_liq_ratio,0.006820783
cg_taker_delta_mom_1h,0.0067601707
cg_liq_imbalance_zscore,0.006556987
cg_liq_total,0.0062131505
cg_funding_close_mom_1h,0.005869
cg_gls_ratio,0.0058650705
return_lag_1,0.0057980237
cg_oi_delta_mom_1h,0.005742441
cg_oi_agg_delta,0.0056770034
cg_liq_x_oi,0.005318726
cg_taker_delta_zscore,0.005151362
cg_oi_agg_delta_zscore,0.0050450764
cg_liq_imbalance,0.004990724
return_lag_2,0.0045063314
cg_taker_delta,0.0038679757
taker_delta_ratio,0.003318503
cg_taker_ratio,0.0012746921
