feature,importance
cg_pos_long_pct,0.021338642
cg_oi_agg_close,0.021042952
cg_oi_close_pctchg_8h,0.020328347
cg_pos_ls_ratio,0.020068904
cg_oi_binance_share,0.020056335
cg_oi_close,0.019788662
cg_pos_short_pct,0.018774722
cg_pos_account_divergence,0.018474676
cg_funding_close_zscore,0.018020002
vol_entropy,0.01788157
cg_ls_long_pct,0.017354181
cg_ls_short_pct,0.017350623
cg_crowding,0.017178195
cg_funding_close,0.017037662
return_kurtosis,0.01673798
cg_pos_ls_ratio_zscore,0.016272279
weekday_sin,0.016240444
realized_vol_20b,0.016217433
cg_gls_ratio_zscore,0.016074434
cg_ls_ratio_zscore,0.01588681
cg_oi_close_zscore,0.015525673
cg_gls_long_pct,0.015281899
hour_cos,0.015204871
hour_sin,0.014782995
taker_delta_std_24h,0.014557287
vol_kurtosis,0.014395006
cg_oi_close_pctchg_4h,0.014172446
vol_acceleration,0.01370362
vol_regime,0.013621996
return_lag_5,0.013385632
cg_oi_close_pctchg_24h,0.01337738
return_lag_4,0.013123945
cg_gls_ratio,0.012924663
cg_funding_close_slope_4h,0.012702349
cg_gls_short_pct,0.012694203
cg_ls_divergence_zscore,0.012507399
cg_ls_divergence,0.012379477
cg_oi_binance_share_zscore,0.012149917
oi_price_divergence,0.012078067
funding_taker_align,0.011933083
weekday_cos,0.0118956305
cg_oi_upper_shadow,0.011864174
cg_oi_range_pct,0.011770753
quote_vol_zscore,0.011736499
cg_ls_ratio,0.011712165
taker_delta_ma_24h,0.011689738
quote_vol_ratio,0.0115553755
cg_funding_range,0.011326018
cg_liq_long,0.010748706
cg_conviction,0.010359592
return_lag_7,0.010339808
return_lag_9,0.010145497
cg_liq_total_zscore,0.010075994
cg_taker_delta_slope_4h,0.009764246
cg_oi_delta_slope_4h,0.009740708
cg_oi_close_pctchg_12h,0.00971495
cg_taker_buy,0.009649297
cg_oi_range_zscore,0.009144294
cg_oi_delta_zscore,0.008567253
squeeze_proxy,0.008539484
cg_oi_accel,0.008470646
cg_taker_sell,0.008468204
cg_funding_close_mom_1h,0.008070133
cg_liq_short,0.00806242
return_lag_3,0.008017651
return_lag_6,0.007997475
return_lag_10,0.007594751
cg_oi_delta,0.007541216
cg_liq_imbalance,0.0074501736
cg_taker_delta_mom_1h,0.0072503123
cg_liq_ratio,0.006770993
return_lag_8,0.00665371
cg_oi_agg_delta,0.006604088
cg_taker_delta_zscore,0.006450761
return_lag_2,0.0063670008
cg_taker_delta,0.00619932
cg_oi_agg_delta_zscore,0.006180337
taker_delta_ratio,0.0061287284
cg_liq_x_oi,0.006091935
cg_liq_imbalance_zscore,0.005333218
cg_oi_delta_mom_1h,0.0048148613
return_lag_1,0.0047226544
cg_liq_total,0.0042915456
cg_taker_ratio,0.0015009029
