feature,importance
cg_oi_agg_close,0.022122318
cg_oi_binance_share,0.02031082
cg_oi_close,0.019634783
cg_crowding,0.019035647
cg_oi_close_pctchg_8h,0.018667554
vol_entropy,0.018019179
cg_ls_long_pct,0.017936446
cg_funding_close_zscore,0.017898124
cg_ls_short_pct,0.017399209
realized_vol_20b,0.01721513
cg_gls_ratio_zscore,0.017197538
cg_ls_ratio_zscore,0.017138511
cg_funding_close,0.017009195
return_kurtosis,0.016970823
cg_oi_close_zscore,0.016933225
hour_sin,0.016510932
weekday_sin,0.016271684
hour_cos,0.015568154
vol_kurtosis,0.0154270325
cg_oi_close_pctchg_4h,0.015420443
vol_regime,0.015321065
taker_delta_std_24h,0.015128806
cg_gls_short_pct,0.014921523
vol_acceleration,0.014892856
cg_gls_long_pct,0.014506338
weekday_cos,0.014358827
cg_spot_futures_cvd_divergence,0.013959677
cg_oi_close_pctchg_24h,0.013936391
return_lag_4,0.013707818
cg_oi_binance_share_zscore,0.013626078
cg_ls_divergence,0.013490457
cg_oi_range_zscore,0.013480815
oi_price_divergence,0.013339874
return_lag_5,0.0132692475
taker_delta_ma_24h,0.012815313
quote_vol_zscore,0.012792319
cg_ls_divergence_zscore,0.01249661
cg_ls_ratio,0.012388467
cg_funding_close_slope_4h,0.012344453
cg_oi_upper_shadow,0.012323199
cg_funding_range,0.012268855
return_lag_7,0.012191512
cg_liq_total_zscore,0.012020852
cg_liq_long,0.011946407
cg_oi_delta_slope_4h,0.011780649
return_lag_9,0.011692908
cg_oi_close_pctchg_12h,0.011389187
quote_vol_ratio,0.01131432
cg_taker_buy,0.011185853
cg_gls_ratio,0.010987208
cg_oi_range_pct,0.010453227
cg_taker_delta_slope_4h,0.010258729
cg_scvd_delta,0.0101707075
cg_scvd_delta_zscore,0.010146367
cg_oi_delta_zscore,0.010109714
funding_taker_align,0.010089185
cg_taker_sell,0.009921944
cg_conviction,0.009809918
cg_oi_delta,0.009547312
return_lag_6,0.009521076
squeeze_proxy,0.009335662
cg_taker_delta_mom_1h,0.009177664
cg_oi_accel,0.009169668
return_lag_10,0.008687668
cg_funding_close_mom_1h,0.008680378
return_lag_3,0.007910649
return_lag_8,0.007838702
cg_taker_delta_zscore,0.0072503337
cg_liq_ratio,0.0072014485
return_lag_2,0.0067903795
taker_delta_ratio,0.006721964
cg_oi_agg_delta,0.0066004246
cg_liq_short,0.0065148342
cg_liq_imbalance,0.0063665076
return_lag_1,0.006329218
cg_liq_total,0.0059907264
cg_taker_delta,0.00568475
cg_oi_agg_delta_zscore,0.005477823
cg_liq_x_oi,0.0053955903
cg_fcvd_delta,0.005341641
cg_fcvd_delta_zscore,0.0048233005
cg_liq_imbalance_zscore,0.004705831
cg_oi_delta_mom_1h,0.004039866
cg_taker_ratio,0.0013721593
