feature,importance
cg_ls_short_pct,0.015169913
hour_cos,0.012983917
cg_bfx_margin_delta,0.012765399
cg_ls_divergence,0.012655023
cg_ls_long_pct,0.012586691
cg_margin_funding_align,0.012459761
cg_oi_agg_close,0.012322612
cg_oi_close,0.012036496
hour_sin,0.011935777
weekday_sin,0.011897881
cg_bfx_margin_long,0.011854527
cg_crowding,0.011824785
vol_regime,0.011761951
cg_oi_binance_share_zscore,0.011752455
return_kurtosis,0.01158916
cg_oi_range_zscore,0.011514172
cg_pos_account_divergence,0.011280867
impact_asymmetry,0.011095351
cg_gls_long_pct,0.010726292
vol_kurt_non_bear,0.010701011
vol_kurtosis,0.010690158
post_absorb_breakout_z,0.010663182
quote_vol_zscore,0.010613347
cg_scvd_cum,0.010582369
cg_oi_range_pct,0.010550344
taker_delta_ma_24h,0.010457335
cg_ls_ratio,0.010314363
post_absorb_breakout,0.010091785
cg_oi_close_pctchg_8h,0.010071188
cg_fcvd_cum,0.009962996
cg_bfx_margin_delta_zscore,0.009937761
cg_funding_close_zscore,0.009884475
cg_gls_short_pct,0.00987964
long_liq_exhaustion_4h,0.009868743
cg_taker_buy,0.009853843
realized_vol_20b,0.009799495
cg_bfx_margin_ratio,0.009788093
taker_delta_std_24h,0.009740293
vol_entropy,0.0097118
impact_asymmetry_zscore,0.009659381
cg_taker_sell,0.009579853
cg_funding_close,0.009510376
cg_pos_long_pct,0.009501851
cg_fcvd_buy,0.009456732
cg_ls_ratio_zscore,0.009424819
abs_completion_z,0.0092986245
cg_oi_close_pctchg_24h,0.009126592
cg_bfx_margin_short,0.009103177
cg_funding_close_slope_4h,0.00903309
cg_oi_binance_share,0.008926422
cg_cb_premium,0.008912923
cg_bfx_margin_ratio_zscore,0.0088151
cg_gls_ratio_zscore,0.008711974
cg_cb_premium_rate,0.00863744
cg_oi_close_pctchg_4h,0.008584841
return_lag_4,0.008458618
cg_gls_ratio,0.008423313
cvd_persistence_12h,0.008376308
cg_pos_ls_ratio_zscore,0.008365954
cg_pos_short_pct,0.008335341
quote_vol_ratio,0.008247002
cg_ls_divergence_zscore,0.008228803
cg_pos_ls_ratio,0.00820587
cg_oi_upper_shadow,0.007992295
cg_cb_premium_rate_zscore,0.0077834083
cg_scvd_delta_zscore,0.007780574
cg_liq_exchange_vs_agg,0.007732402
oi_8h_non_bull,0.007708712
cg_scvd_buy,0.007622186
abs_completion,0.0076118284
cg_scvd_sell,0.00758918
cg_fcvd_sell,0.0074748257
cg_oi_close_pctchg_12h,0.007289916
funding_taker_align,0.0070852605
oi_price_divergence,0.0069764596
vol_acceleration,0.006893902
cg_funding_range,0.0067953775
squeeze_proxy,0.0067479145
cg_scvd_delta,0.0066223703
fragility,0.006598192
cg_oi_delta_slope_4h,0.0064852755
cg_spot_futures_cvd_divergence,0.006454413
cg_liq_agg_total,0.0064214435
cg_funding_close_mom_1h,0.006331701
cg_liq_imbalance_zscore,0.0061521633
cg_oi_accel,0.0061007347
cg_liq_agg_long,0.006095924
return_lag_1,0.005964145
cg_liq_agg_imbalance,0.0058809645
return_lag_5,0.0057048225
cg_oi_close_zscore,0.00567833
cg_liq_total,0.005598552
flow_trend_score,0.0055694208
cg_liq_long,0.0054280153
cg_taker_ratio,0.0054261917
return_lag_6,0.0053710877
return_lag_8,0.0053634667
return_lag_9,0.0052542374
cg_liq_total_zscore,0.0052527464
cg_taker_delta_slope_4h,0.005243198
price_impact,0.0050986777
cg_oi_agg_delta_zscore,0.005097455
price_impact_zscore,0.005027347
cg_liq_x_oi,0.0048537995
cg_funding_close_accel,0.0046706405
cg_oi_delta,0.004641058
fragility_zscore,0.004604215
cg_liq_short,0.004544173
cg_liq_agg_short,0.0044409153
return_lag_10,0.0042791977
cg_oi_delta_zscore,0.004276064
cg_liq_ratio,0.0040903357
weekday_cos,0.004015635
return_lag_3,0.0038181148
cg_liq_imbalance,0.003815568
return_lag_7,0.0036139868
cg_fcvd_delta,0.0035290928
cg_liq_agg_imbalance_zscore,0.003462726
cg_conviction,0.0032793353
cg_taker_delta_mom_1h,0.0032346027
return_lag_2,0.0031739674
cg_oi_delta_accel,0.003114383
is_trending_bull,0.0030828158
cg_oi_agg_delta,0.0028429308
cg_fcvd_delta_zscore,0.002773526
cg_taker_delta,0.00257691
taker_delta_ratio,0.0022391512
cg_taker_delta_accel,0.0019149204
cg_funding_regime_shift,0.0018365902
cg_taker_delta_zscore,0.0017183564
cg_oi_cm_close,0.0014613795
cg_oi_delta_mom_1h,0.0010930472
cg_oi_cm_vs_usd,0.00062765286
is_trending_bear,0.00044921233
cg_oi_cm_delta_zscore,0.00023579433
cg_oi_cm_delta,8.51212e-05
