feature,importance
cg_ls_short_pct,0.016603824
cg_oi_agg_close,0.01347448
cg_bfx_margin_long,0.013247551
cg_bfx_margin_delta,0.013239844
cg_pos_account_divergence,0.013008124
hour_cos,0.012985033
cg_scvd_cum,0.012893226
cg_ls_long_pct,0.012854748
cg_cb_premium_rate,0.0124410745
cg_bfx_margin_short,0.012281879
cg_oi_close,0.012255217
cg_funding_close,0.012143135
cg_taker_buy,0.012066807
cg_fcvd_cum,0.011349579
cg_taker_sell,0.011343374
cg_ls_ratio,0.0112575255
cg_margin_funding_align,0.011161979
vol_regime,0.01100618
cg_gls_ratio_zscore,0.010649367
taker_delta_std_24h,0.010517225
return_kurtosis,0.010449256
cg_gls_long_pct,0.01043693
cg_fcvd_sell,0.010313511
long_liq_exhaustion_4h,0.010313199
hour_sin,0.010273856
cg_ls_ratio_zscore,0.010262924
cg_oi_binance_share_zscore,0.010251303
cg_oi_range_pct,0.010172503
cg_bfx_margin_ratio,0.0101650935
cg_liq_long,0.010147354
post_absorb_breakout,0.010141557
cg_cb_premium_rate_zscore,0.01012541
cg_oi_close_pctchg_24h,0.010100523
cg_pos_short_pct,0.010067217
post_absorb_breakout_z,0.010015315
cg_ls_divergence,0.009990067
weekday_sin,0.009936124
cg_pos_long_pct,0.009924691
cg_crowding,0.009924194
cg_funding_close_zscore,0.009754485
quote_vol_ratio,0.00974262
cg_pos_ls_ratio,0.009553073
vol_kurtosis,0.009539905
cg_fcvd_buy,0.009498786
cg_oi_binance_share,0.009459571
cg_oi_range_zscore,0.009419251
cg_liq_x_oi,0.009288725
cg_scvd_sell,0.009149903
cg_ls_divergence_zscore,0.009135063
cg_gls_ratio,0.009121818
realized_vol_20b,0.009094697
cg_funding_close_slope_4h,0.009046843
return_lag_4,0.008990328
vol_kurt_non_bear,0.008894165
cg_oi_close_pctchg_12h,0.008805924
cg_bfx_margin_ratio_zscore,0.0087458445
cvd_persistence_12h,0.008635465
cg_bfx_margin_delta_zscore,0.008495705
weekday_cos,0.008268309
cg_pos_ls_ratio_zscore,0.00825098
cg_cb_premium,0.008182192
vol_entropy,0.008127164
fragility,0.0080634905
return_lag_6,0.007930058
taker_delta_ma_24h,0.007902927
impact_asymmetry,0.007902684
cg_liq_exchange_vs_agg,0.0078775
return_lag_5,0.007821108
quote_vol_zscore,0.0074695884
abs_completion_z,0.007414453
impact_asymmetry_zscore,0.0073889005
cg_oi_close_pctchg_4h,0.00733445
cg_oi_close_pctchg_8h,0.007201063
cg_scvd_buy,0.0071587577
oi_price_divergence,0.0071561676
cg_funding_close_mom_1h,0.0070134825
cg_scvd_delta_zscore,0.0067536887
vol_acceleration,0.006629625
oi_8h_non_bull,0.0065948265
funding_taker_align,0.006464546
cg_liq_total,0.006360353
cg_oi_upper_shadow,0.0063502113
flow_trend_score,0.0063439044
price_impact,0.006209364
cg_oi_delta_slope_4h,0.0061607785
cg_scvd_delta,0.005865901
cg_liq_agg_long,0.005847477
cg_funding_range,0.0058376524
cg_liq_total_zscore,0.0058349883
cg_gls_short_pct,0.005802896
return_lag_8,0.005745299
fragility_zscore,0.0057209046
cg_liq_agg_total,0.005598604
cg_taker_delta_mom_1h,0.0055852095
return_lag_1,0.0054912735
abs_completion,0.0054649273
cg_spot_futures_cvd_divergence,0.005429686
cg_conviction,0.0053847204
return_lag_9,0.005320405
cg_liq_imbalance,0.0052837953
cg_oi_close_zscore,0.0052613732
price_impact_zscore,0.0052094194
return_lag_3,0.005039269
cg_liq_agg_imbalance,0.0049290145
cg_liq_agg_imbalance_zscore,0.0046012136
cg_liq_agg_short,0.0044063437
cg_taker_delta_zscore,0.0042492854
squeeze_proxy,0.004234523
cg_taker_delta_slope_4h,0.004121676
return_lag_2,0.004053632
cg_liq_short,0.003956893
cg_liq_imbalance_zscore,0.0038863486
cg_taker_delta,0.0036165877
cg_taker_ratio,0.0036164862
cg_oi_agg_delta_zscore,0.0035174794
cg_oi_delta,0.0034659044
cg_oi_delta_accel,0.0034337717
return_lag_7,0.0032285415
cg_funding_close_accel,0.003173579
cg_oi_delta_mom_1h,0.0030685593
return_lag_10,0.0030073863
cg_liq_ratio,0.0028208839
cg_fcvd_delta,0.0026434648
is_trending_bull,0.0021399397
cg_oi_delta_zscore,0.002035727
cg_oi_agg_delta,0.001983337
cg_fcvd_delta_zscore,0.0018338048
taker_delta_ratio,0.0017640296
cg_oi_accel,0.0015813267
cg_taker_delta_accel,0.0013848012
cg_oi_cm_vs_usd,0.0011919518
cg_funding_regime_shift,0.00074540905
is_trending_bear,0.00053675077
cg_oi_cm_close,0.00041305186
cg_oi_cm_delta_zscore,8.1739716e-05
cg_oi_cm_delta,5.879743e-05
