kind,L,H,ic,ci_lo,ci_hi,ci_excl0,n_indep,n,wr,mean_ret,tier,full_ic,ic_excl0
mom_ic,12.0,4,-0.030079153853484877,-0.08028345927191273,0.016696061184899035,False,995.0,,,,,,
mom_ic,12.0,8,-0.0009290130804373813,-0.0665935214736302,0.06323026027667966,False,497.0,,,,,,
mom_ic,12.0,12,0.029345993443163177,-0.04723254136125846,0.10394022990091815,False,331.0,,,,,,
mom_ic,12.0,24,0.017354526094113577,-0.07978894255630133,0.10363659039414683,False,165.0,,,,,,
mom_ic,12.0,48,0.03353541237824065,-0.05491199723840109,0.12151602397439668,False,82.0,,,,,,
mom_ic,12.0,72,-0.03902143035369077,-0.14047500160369733,0.056479570394372604,False,54.0,,,,,,
mom_ic,12.0,120,0.006189740667118735,-0.11903887640982144,0.07282874615205656,False,32.0,,,,,,
mom_ic,12.0,168,0.0009507553696135379,-0.12036456087428972,0.0775668327343022,False,22.0,,,,,,
mom_ic,24.0,4,-0.010151174071022421,-0.062165852776688665,0.03895506611803154,False,992.0,,,,,,
mom_ic,24.0,8,-0.0014809108970562947,-0.07200354953935116,0.07071243778725522,False,495.0,,,,,,
mom_ic,24.0,12,0.007458821513422046,-0.08030156540179471,0.0938122373281353,False,330.0,,,,,,
mom_ic,24.0,24,0.014909982134839064,-0.09918158849770094,0.12014340493473114,False,164.0,,,,,,
mom_ic,24.0,48,-0.021706299440021434,-0.1427740295759341,0.10480823672803677,False,81.0,,,,,,
mom_ic,24.0,72,-0.0558295731094325,-0.20816903780247517,0.0706246259433037,False,54.0,,,,,,
mom_ic,24.0,120,0.007341781472224162,-0.15617556785103368,0.09561730059422967,False,32.0,,,,,,
mom_ic,24.0,168,0.000926789435004183,-0.1599684584103098,0.10774344429760493,False,22.0,,,,,,
mom_ic,48.0,4,0.005405885130386197,-0.04670149337824622,0.05728138253247637,False,986.0,,,,,,
mom_ic,48.0,8,0.014525729273397438,-0.06261149282847794,0.08345545111752228,False,492.0,,,,,,
mom_ic,48.0,12,0.02524157397863127,-0.061259764496440904,0.11069826032799877,False,328.0,,,,,,
mom_ic,48.0,24,-0.027499153361679216,-0.13896652859388675,0.09497390002091334,False,163.0,,,,,,
mom_ic,48.0,48,-0.06194647913167729,-0.21359649151251103,0.10194478268151518,False,81.0,,,,,,
mom_ic,48.0,72,-0.08301932253593314,-0.2825599779882246,0.08203653690316216,False,53.0,,,,,,
mom_ic,48.0,120,0.023647914072319642,-0.19568877082073666,0.17808894991114335,False,31.0,,,,,,
mom_ic,48.0,168,0.05849432619260955,-0.16307174549249362,0.21097727462420288,False,22.0,,,,,,
mom_ic,72.0,4,-0.04433532509877166,-0.09628094024594888,0.00954031088886924,False,980.0,,,,,,
mom_ic,72.0,8,-0.04996170419555553,-0.1269439308829384,0.022823437504831144,False,489.0,,,,,,
mom_ic,72.0,12,-0.054740576566715736,-0.14242015302002617,0.0307590147483855,False,326.0,,,,,,
mom_ic,72.0,24,-0.06907183235266472,-0.19192476554751486,0.05763044323709147,False,162.0,,,,,,
mom_ic,72.0,48,-0.08159958127452734,-0.2405123965078296,0.09162949977610244,False,80.0,,,,,,
mom_ic,72.0,72,-0.04311522596169021,-0.246252510857222,0.13000979346773878,False,53.0,,,,,,
mom_ic,72.0,120,0.0733936742011322,-0.17930256663202884,0.25317571241965603,False,31.0,,,,,,
mom_ic,72.0,168,0.10323070045363662,-0.1627018371832429,0.27445141124523365,False,22.0,,,,,,
mom_ic,168.0,4,0.004565809190999169,-0.043651974988417754,0.0606868352531776,False,956.0,,,,,,
mom_ic,168.0,8,0.016992931037192974,-0.05786902260706386,0.09619364138110238,False,477.0,,,,,,
mom_ic,168.0,12,0.02747131928026359,-0.0640352850947033,0.12345266395523907,False,318.0,,,,,,
mom_ic,168.0,24,0.0470696564969934,-0.07367757144903937,0.18157210192388978,False,158.0,,,,,,
mom_ic,168.0,48,0.09494367399546329,-0.07586263780300868,0.27447913691338927,False,78.0,,,,,,
mom_ic,168.0,72,0.14142437753752754,-0.07911768091990846,0.3195173024136784,False,52.0,,,,,,
