feature,importance
cg_taker_buy,0.0643807
cg_taker_sell,0.054802492
hour_cos,0.05043792
cg_liq_x_oi,0.04671745
weekday_sin,0.037916638
cg_gls_ratio,0.031267658
cg_ls_ratio,0.02725964
cg_liq_total,0.027237143
cg_oi_range_pct,0.025828844
cg_liq_long,0.025642335
realized_vol_20b,0.025538843
cg_oi_close_pctchg_24h,0.024157716
hour_sin,0.022709148
cg_oi_agg_close,0.021836497
cg_oi_close,0.019398397
taker_delta_ma_24h,0.018251086
cg_ls_ratio_zscore,0.017163737
cg_funding_close_zscore,0.016750744
oi_price_divergence,0.016240908
cg_oi_close_zscore,0.01622768
vol_regime,0.01608002
cg_liq_short,0.015618659
taker_delta_std_24h,0.015226646
weekday_cos,0.015073417
cg_oi_close_pctchg_12h,0.014646668
cg_funding_close,0.014314107
cg_gls_ratio_zscore,0.014211451
vol_kurtosis,0.013919979
cg_crowding,0.013808933
cg_liq_ratio,0.013794868
return_kurtosis,0.013626234
cg_oi_range_zscore,0.013465474
cg_liq_imbalance_zscore,0.013380298
vol_entropy,0.013316809
cg_funding_range,0.013249075
vol_acceleration,0.01223222
cg_liq_imbalance,0.0122231515
cg_oi_close_pctchg_4h,0.011770088
cg_oi_delta_zscore,0.011344999
cg_oi_close_pctchg_8h,0.01088525
funding_taker_align,0.010474766
cg_oi_accel,0.010126368
cg_liq_total_zscore,0.010097629
cg_funding_close_slope_4h,0.009767681
cg_oi_delta_slope_4h,0.009760113
cg_oi_delta,0.008982511
cg_conviction,0.00832336
cg_funding_close_mom_1h,0.008266078
cg_taker_ratio,0.0082132425
cg_taker_delta_zscore,0.00736255
cg_oi_delta_mom_1h,0.0066335998
cg_oi_agg_delta,0.0065486534
cg_taker_delta_mom_1h,0.006265267
cg_oi_agg_delta_zscore,0.0061253007
squeeze_proxy,0.005802021
cg_taker_delta,0.0057485704
cg_taker_delta_slope_4h,0.005427054
taker_delta_ratio,0.004121332
