feature,importance
cg_taker_sell,0.051486067
cg_taker_buy,0.046795413
hour_cos,0.039853375
cg_liq_total,0.03456887
cg_liq_x_oi,0.031179667
weekday_sin,0.030279119
cg_pos_ls_ratio,0.029352523
cg_gls_ratio,0.025166355
hour_sin,0.022567341
cg_ls_ratio,0.022051604
cg_liq_long,0.02067407
cg_oi_close_pctchg_24h,0.01995704
cg_bfx_margin_delta,0.019803144
cg_pos_account_divergence,0.01935526
cg_liq_agg_total,0.019267095
realized_vol_20b,0.018155772
cg_oi_range_pct,0.017958462
cg_oi_agg_close,0.017231861
cg_pos_ls_ratio_zscore,0.016733957
cg_gls_ratio_zscore,0.015180036
cg_oi_close,0.014777157
cg_liq_agg_long,0.014754463
cg_ls_ratio_zscore,0.01417027
cg_liq_agg_imbalance_zscore,0.013893747
cg_oi_close_zscore,0.013814017
taker_delta_ma_24h,0.013403493
cg_liq_short,0.012882387
cg_funding_close_zscore,0.012742643
cg_oi_close_pctchg_12h,0.012393612
vol_regime,0.012332227
taker_delta_std_24h,0.012297358
cg_oi_close_pctchg_4h,0.011938726
cg_funding_close,0.011915277
cg_crowding,0.011780397
cg_oi_range_zscore,0.011761642
cg_liq_agg_imbalance,0.011689633
cg_bfx_margin_delta_zscore,0.011336582
oi_price_divergence,0.0113347
weekday_cos,0.011166644
vol_entropy,0.011048657
cg_liq_imbalance_zscore,0.01073417
cg_liq_ratio,0.010711164
return_kurtosis,0.01037985
vol_acceleration,0.010134108
vol_kurtosis,0.009965844
cg_margin_funding_align,0.009674278
cg_oi_close_pctchg_8h,0.009250983
cg_funding_close_slope_4h,0.008796992
cg_liq_imbalance,0.008405156
cg_funding_close_mom_1h,0.008393173
cg_funding_range,0.008333217
cg_oi_accel,0.008265561
cg_oi_delta_slope_4h,0.007274333
cg_fcvd_delta_zscore,0.0070603797
cg_liq_total_zscore,0.0070371614
cg_oi_delta_zscore,0.0069985553
cg_oi_delta_mom_1h,0.0069871675
cg_liq_agg_short,0.006819183
funding_taker_align,0.0063999156
cg_liq_exchange_vs_agg,0.0063667903
cg_fcvd_delta,0.0061152424
squeeze_proxy,0.005370086
cg_taker_ratio,0.005236289
cg_conviction,0.005087795
cg_taker_delta_mom_1h,0.0050188256
cg_oi_delta,0.0048954966
cg_oi_agg_delta_zscore,0.0047269273
cg_taker_delta_zscore,0.004626242
cg_oi_agg_delta,0.004563812
cg_taker_delta_slope_4h,0.004130016
taker_delta_ratio,0.0032527784
cg_taker_delta,0.0028779844
cg_oi_cm_vs_usd,0.0023770623
cg_oi_cm_delta,0.0020373242
cg_oi_cm_close,0.0018878106
cg_oi_cm_delta_zscore,0.0007576427
