feature,importance
cg_taker_buy,0.063886225
hour_cos,0.054154575
weekday_sin,0.041829616
cg_oi_range_pct,0.035358403
cg_pos_ls_ratio,0.033069942
cg_liq_long,0.027351392
is_trending_bear,0.02674127
cg_pos_account_divergence,0.02650483
cg_bfx_margin_delta,0.025102666
hour_sin,0.023476107
realized_vol_20b,0.023373276
cg_oi_close_pctchg_24h,0.018305339
cg_pos_ls_ratio_zscore,0.016927075
cg_oi_close_zscore,0.01661886
cg_ls_ratio_zscore,0.016614331
cg_funding_close_zscore,0.016428467
tox_accum_zscore,0.015772354
vol_regime,0.015369121
cg_oi_close,0.015034526
cg_liq_ratio,0.014772486
vol_kurt_non_bear,0.013958052
cg_crowding,0.013434447
cg_oi_close_pctchg_12h,0.013292455
tox_bv_vpin_zscore,0.012910263
cg_gls_ratio_zscore,0.01284268
post_absorb_breakout,0.01278855
cg_oi_close_pctchg_4h,0.012478233
cg_bfx_margin_delta_zscore,0.012121899
vol_acceleration,0.012045105
tox_div_taker,0.011926152
cg_funding_range,0.011910463
taker_delta_ma_24h,0.011877945
cg_funding_close_slope_4h,0.011877443
taker_delta_std_24h,0.011865909
flow_trend_score,0.011808582
cg_liq_short,0.011792025
cg_funding_close,0.011696122
vol_entropy,0.011417163
long_liq_exhaustion_4h,0.011202285
abs_completion_z,0.011033365
oi_price_divergence,0.010794375
cg_oi_close_pctchg_8h,0.010683869
cg_funding_close_mom_1h,0.010680839
cg_oi_range_zscore,0.010625007
weekday_cos,0.010188679
cg_oi_delta_mom_1h,0.010132938
vol_kurtosis,0.009919614
cg_oi_delta_slope_4h,0.009574939
return_kurtosis,0.009500812
post_absorb_breakout_z,0.009330156
cg_margin_funding_align,0.008813786
funding_taker_align,0.008685125
cg_liq_total_zscore,0.008590954
tox_pressure,0.008492247
impact_asymmetry,0.008461874
fragility,0.008400642
impact_asymmetry_zscore,0.008335102
taker_delta_ratio,0.007906828
cg_liq_exchange_vs_agg,0.0071785473
cg_taker_delta_mom_1h,0.0068763844
cg_conviction,0.0059404843
fragility_zscore,0.0057830783
squeeze_proxy,0.005604115
cg_taker_delta_zscore,0.0053238114
cg_taker_delta_slope_4h,0.005236751
cg_oi_agg_delta_zscore,0.004929721
price_impact,0.0048662517
cg_oi_agg_delta,0.0033742131
cg_oi_cm_vs_usd,0.0020303612
is_trending_bull,0.0010765858
cg_oi_cm_delta_zscore,0.00096971926
cg_oi_cm_delta,0.0007221683
