feature,importance
hour_cos,0.040991206
cg_oi_close_pctchg_24h,0.037373606
cg_ls_ratio_zscore,0.032029096
taker_delta_std_24h,0.026796121
cg_oi_close_pctchg_8h,0.026408285
cg_funding_close_slope_4h,0.02635204
realized_vol_20b,0.026263723
cg_oi_close_pctchg_12h,0.026060082
taker_delta_ma_24h,0.025495267
cg_oi_close_zscore,0.022993816
cg_oi_close,0.02290081
weekday_cos,0.022079192
tox_accum_zscore,0.019272057
return_kurtosis,0.01860239
cg_funding_close_zscore,0.018210469
cg_bfx_margin_delta,0.017934384
hour_sin,0.017415982
vol_regime,0.017337123
fragility_zscore,0.017237345
weekday_sin,0.017046044
post_absorb_breakout_z,0.016721765
vol_acceleration,0.01594557
cg_pos_ls_ratio_zscore,0.015890937
cg_taker_buy,0.015577502
impact_asymmetry,0.014940903
flow_trend_score,0.014917911
cg_crowding,0.014728145
cg_oi_close_pctchg_4h,0.0144833345
cg_bfx_margin_delta_zscore,0.014423623
cg_pos_ls_ratio,0.014161895
cg_gls_ratio_zscore,0.014074363
cg_funding_close,0.0139028225
vol_entropy,0.013443486
impact_asymmetry_zscore,0.013309537
cg_liq_long,0.0132905785
taker_delta_ratio,0.013122827
tox_bv_vpin_zscore,0.0129781645
long_liq_exhaustion_4h,0.012845375
post_absorb_breakout,0.0127279
cg_oi_range_pct,0.012646094
cg_oi_range_zscore,0.012302914
cg_pos_account_divergence,0.0120459795
vol_kurt_non_bear,0.011847824
cg_margin_funding_align,0.011406492
cg_conviction,0.011118288
fragility,0.010622171
cg_liq_total_zscore,0.010323599
cg_taker_delta_zscore,0.010305081
abs_completion_z,0.010231122
funding_taker_align,0.010210381
cg_funding_close_mom_1h,0.0098947575
tox_pressure,0.009525736
cg_liq_ratio,0.009335137
oi_price_divergence,0.008530631
vol_kurtosis,0.008493836
cg_funding_range,0.008393988
cg_liq_exchange_vs_agg,0.0074736197
tox_div_taker,0.007190586
cg_oi_delta_slope_4h,0.0069016116
price_impact,0.0068939948
cg_taker_delta_slope_4h,0.006658257
cg_liq_short,0.0065401644
cg_oi_agg_delta_zscore,0.006386057
cg_taker_delta_mom_1h,0.005951727
squeeze_proxy,0.0058422023
cg_oi_agg_delta,0.0047356444
cg_oi_delta_mom_1h,0.0044349553
cg_oi_cm_vs_usd,0.0012785466
cg_oi_cm_delta_zscore,0.0011041042
cg_oi_cm_delta,0.00054880016
is_trending_bear,0.00042361248
is_trending_bull,0.00011638314
