feature,raw_ic,ci_lo,ci_hi,ci_excludes_0,n_months,frac_months_same_sign,monthly,cond_ic,cond_ci_lo,cond_ci_hi,cond_ci_excludes_0,n_oos
vp_asym_b0050_l168,-0.019139226022979974,-0.07036956137345635,0.030568034689605363,False,7,0.5714285714285714,2025-12:-0.201;2026-01:+0.007;2026-02:+0.014;2026-03:-0.004;2026-04:-0.088;2026-05:-0.079;2026-06:+0.158,-0.014261152838939532,-0.06814302490704274,0.033873563524647425,False,3696
vp_lr_b0050_l168,-0.01914476485187221,-0.07037413074333625,0.03054395945337241,False,7,0.5714285714285714,2025-12:-0.201;2026-01:+0.007;2026-02:+0.014;2026-03:-0.004;2026-04:-0.088;2026-05:-0.079;2026-06:+0.157,-0.01426415697128229,-0.0681285107518085,0.033863200987707724,False,3696
vp_asym_b0050_l720,0.011211662356278537,-0.04118903235964884,0.0611787602938115,False,7,0.5714285714285714,2025-12:-0.054;2026-01:+0.031;2026-02:+0.021;2026-03:+0.021;2026-04:-0.065;2026-05:-0.027;2026-06:+0.158,0.012025802123970296,-0.04285746367640578,0.06316936687991515,False,3696
vp_lr_b0050_l720,0.01120883192635613,-0.041172291493289985,0.06115352670047318,False,7,0.5714285714285714,2025-12:-0.054;2026-01:+0.031;2026-02:+0.021;2026-03:+0.021;2026-04:-0.065;2026-05:-0.027;2026-06:+0.157,0.012024610104817274,-0.042850648651502114,0.06317166617306606,False,3696
vp_asym_b0100_l168,-0.026055489212328534,-0.08210015322641395,0.02741409147737112,False,7,0.5714285714285714,2025-12:-0.288;2026-01:+0.026;2026-02:+0.020;2026-03:-0.026;2026-04:-0.110;2026-05:-0.073;2026-06:+0.109,-0.020246372302899045,-0.07660628758144482,0.03243521255699383,False,3696
vp_lr_b0100_l168,-0.026038388018492946,-0.08207671625748884,0.027429585118293076,False,7,0.5714285714285714,2025-12:-0.288;2026-01:+0.027;2026-02:+0.020;2026-03:-0.026;2026-04:-0.110;2026-05:-0.073;2026-06:+0.109,-0.02022784679516077,-0.07659700605471853,0.03244186811265224,False,3696
vp_asym_b0100_l720,0.009514315048813879,-0.04725599518035647,0.06509052508133753,False,7,0.42857142857142855,2025-12:-0.151;2026-01:+0.114;2026-02:+0.028;2026-03:-0.025;2026-04:-0.087;2026-05:-0.025;2026-06:+0.110,0.008730093022388608,-0.05072470548787687,0.062387862052954136,False,3696
vp_lr_b0100_l720,0.009511736685559798,-0.0472558860313646,0.06507608174238773,False,7,0.42857142857142855,2025-12:-0.151;2026-01:+0.114;2026-02:+0.028;2026-03:-0.025;2026-04:-0.087;2026-05:-0.025;2026-06:+0.110,0.008727701010858796,-0.050695167492814,0.06236352266397962,False,3696
vp_asym_b0200_l168,-0.030914294641912244,-0.09139769701118675,0.022395485293890665,False,7,0.7142857142857143,2025-12:-0.364;2026-01:+0.015;2026-02:-0.032;2026-03:-0.042;2026-04:-0.098;2026-05:-0.058;2026-06:+0.109,-0.019570651239241534,-0.07743231382735598,0.03324756120122301,False,3696
vp_lr_b0200_l168,-0.030919053227153208,-0.09142844752121684,0.022304351001253907,False,7,0.7142857142857143,2025-12:-0.364;2026-01:+0.015;2026-02:-0.032;2026-03:-0.042;2026-04:-0.098;2026-05:-0.058;2026-06:+0.108,-0.01957308431415457,-0.07743003701128998,0.03319683643723705,False,3696
vp_asym_b0200_l720,-0.002997645090882897,-0.060188962737862096,0.05487900252293797,False,7,0.5714285714285714,2025-12:-0.269;2026-01:+0.095;2026-02:+0.008;2026-03:-0.045;2026-04:-0.086;2026-05:-0.026;2026-06:+0.113,0.0002397225186118815,-0.058688537281364334,0.05655785628399662,False,3696
vp_lr_b0200_l720,-0.0029990050605925305,-0.060182107210722216,0.054853111297481036,False,7,0.5714285714285714,2025-12:-0.269;2026-01:+0.095;2026-02:+0.008;2026-03:-0.045;2026-04:-0.086;2026-05:-0.026;2026-06:+0.112,0.00023928700119681332,-0.05866960982061904,0.056547875061347716,False,3696
