signal_ts,entry_ts,exit_ts,direction,tier,entry_px,exit_px,exit_reason,hold_h,gross,net,flipped
2025-12-01 08:00:00,2025-12-01 09:00:00,2025-12-01 12:00:00,UP,Strong,86811.0,85022.71289343236,trail_stop,3.0,-0.020599775449743007,-0.021399775449743006,False
2025-12-01 12:00:00,2025-12-01 13:00:00,2025-12-01 15:00:00,UP,Strong,85396.3,84683.70688383283,trail_stop,2.0,-0.008344543219872214,-0.009144543219872214,False
2025-12-01 15:00:00,2025-12-01 16:00:00,2025-12-04 14:00:00,UP,Strong,84650.0,91823.51538767519,trail_stop,70.0,0.08474324143739143,0.08394324143739143,False
2025-12-09 15:00:00,2025-12-09 16:00:00,2025-12-09 18:00:00,UP,Strong,92676.9,93887.3,opp_strong,2.0,0.01306042821889819,0.01226042821889819,False
2025-12-09 18:00:00,2025-12-09 19:00:00,2025-12-09 20:00:00,DOWN,Strong,93887.2,93075.2,opp_signal,1.0,0.008648676283881107,0.007848676283881107,True
2025-12-11 04:00:00,2025-12-11 05:00:00,2025-12-11 22:00:00,UP,Strong,90386.6,92325.4,opp_strong,17.0,0.02145008220245015,0.02065008220245015,False
2025-12-11 22:00:00,2025-12-11 23:00:00,2025-12-12 08:00:00,DOWN,Strong,92325.4,92311.4,opp_signal,9.0,0.000151637577524677,-0.000648362422475323,True
2025-12-12 09:00:00,2025-12-12 10:00:00,2025-12-12 14:00:00,DOWN,Strong,92481.7,92393.0,opp_signal,4.0,0.0009591086669038518,0.00015910866690385173,False
2025-12-12 17:00:00,2025-12-12 18:00:00,2025-12-12 21:00:00,UP,Strong,90043.9,90151.0,opp_strong,3.0,0.0011894198274398082,0.0003894198274398082,False
2025-12-12 21:00:00,2025-12-12 22:00:00,2025-12-15 02:00:00,DOWN,Strong,90150.9,89515.5531453292,trail_stop,52.0,0.007047593032025068,0.0062475930320250676,True
2025-12-15 12:00:00,2025-12-15 13:00:00,2025-12-15 15:00:00,DOWN,Strong,89657.9,86996.6,opp_signal,2.0,0.029682827726279393,0.028882827726279394,False
2025-12-17 11:00:00,2025-12-17 12:00:00,2025-12-17 15:00:00,UP,Strong,86939.2,87892.10280334942,trail_stop,3.0,0.010960565583182591,0.01016056558318259,False
2025-12-19 06:00:00,2025-12-19 07:00:00,2025-12-22 00:00:00,DOWN,Strong,87450.0,89342.52197275343,trail_stop,65.0,-0.02164118893943323,-0.02244118893943323,False
2025-12-22 07:00:00,2025-12-22 08:00:00,2025-12-22 12:00:00,DOWN,Strong,89127.8,90372.45957101801,trail_stop,4.0,-0.01396488605146784,-0.01476488605146784,False
2025-12-22 12:00:00,2025-12-22 13:00:00,2025-12-22 23:00:00,DOWN,Strong,90171.2,88581.5,opp_signal,10.0,0.01762979754067817,0.016829797540678173,False
2025-12-23 03:00:00,2025-12-23 04:00:00,2025-12-23 14:00:00,UP,Strong,88128.2,86636.8305220826,trail_stop,10.0,-0.01692272709436249,-0.017722727094362487,False
2025-12-25 04:00:00,2025-12-25 05:00:00,2025-12-25 17:00:00,UP,Strong,87740.5,88096.2,opp_strong,12.0,0.00405400014816415,0.0032540001481641497,False
2025-12-25 17:00:00,2025-12-25 18:00:00,2025-12-25 23:00:00,DOWN,Strong,88096.1,87182.8,opp_strong,5.0,0.010367087759844074,0.009567087759844073,True
2025-12-25 23:00:00,2025-12-26 00:00:00,2025-12-26 02:00:00,UP,Strong,87182.8,89151.8,opp_strong,2.0,0.0225847300155535,0.0217847300155535,True
2025-12-26 02:00:00,2025-12-26 03:00:00,2025-12-26 16:00:00,DOWN,Strong,89151.8,86821.7,opp_signal,13.0,0.026136320298636773,0.025336320298636774,True
2025-12-29 04:00:00,2025-12-29 05:00:00,2025-12-29 13:00:00,DOWN,Strong,90100.1,87354.3,opp_strong,8.0,0.03047499392342523,0.029674993923425232,False
2025-12-29 13:00:00,2025-12-29 14:00:00,2025-12-29 19:00:00,UP,Strong,87354.3,87328.9,opp_signal,5.0,-0.0002907698876873921,-0.001090769887687392,True
2025-12-30 13:00:00,2025-12-30 14:00:00,2025-12-30 15:00:00,DOWN,Strong,88069.9,88913.5793928712,trail_stop,1.0,-0.009579656532722192,-0.010379656532722192,False
2025-12-30 18:00:00,2025-12-30 19:00:00,2025-12-31 14:00:00,DOWN,Strong,88259.7,88443.4,opp_signal,19.0,-0.0020813576298128744,-0.0028813576298128744,False
2025-12-31 16:00:00,2025-12-31 17:00:00,2026-01-02 14:00:00,UP,Strong,87625.9,88612.36253837559,trail_stop,45.0,0.011257659417770238,0.010457659417770238,False
2026-01-06 10:00:00,2026-01-06 11:00:00,2026-01-06 20:00:00,DOWN,Strong,93536.4,92515.3667526059,trail_stop,9.0,0.010915892074038536,0.010115892074038535,False
2026-01-16 04:00:00,2026-01-16 05:00:00,2026-01-20 05:00:00,DOWN,Strong,95233.4,91590.1,opp_strong,96.0,0.03825653604722701,0.037456536047227006,False
2026-01-20 05:00:00,2026-01-20 06:00:00,2026-01-20 12:00:00,UP,Strong,91590.1,91240.0,opp_signal,6.0,-0.003822465528479646,-0.004622465528479646,True
2026-01-20 16:00:00,2026-01-20 17:00:00,2026-01-20 22:00:00,UP,Strong,90131.8,88863.26744106883,trail_stop,5.0,-0.014074195333180661,-0.014874195333180662,False
2026-01-20 22:00:00,2026-01-20 23:00:00,2026-01-21 06:00:00,UP,Strong,88468.9,89618.4,opp_signal,7.0,0.01299326656033939,0.012193266560339389,False
2026-01-21 11:00:00,2026-01-21 12:00:00,2026-01-21 16:00:00,UP,Strong,88757.0,88901.59507820864,trail_stop,4.0,0.00162911182451686,0.0008291118245168601,False
2026-01-21 17:00:00,2026-01-21 18:00:00,2026-01-22 01:00:00,UP,Strong,87897.0,90071.1,opp_strong,7.0,0.024734632581316918,0.02393463258131692,False
2026-01-22 01:00:00,2026-01-22 02:00:00,2026-01-22 15:00:00,DOWN,Strong,90071.1,88953.6,opp_signal,13.0,0.01240686524312462,0.01160686524312462,True
2026-01-22 16:00:00,2026-01-22 17:00:00,2026-01-22 18:00:00,DOWN,Strong,89006.9,89295.5,opp_signal,1.0,-0.003242445248626824,-0.004042445248626824,False
2026-01-22 19:00:00,2026-01-22 20:00:00,2026-01-23 01:00:00,UP,Strong,89732.8,89893.7,opp_signal,5.0,0.0017931012962928428,0.0009931012962928428,False
2026-01-23 02:00:00,2026-01-23 03:00:00,2026-01-23 09:00:00,DOWN,Strong,89611.3,88939.9,opp_strong,6.0,0.0074923586645881946,0.006692358664588194,False
2026-01-23 09:00:00,2026-01-23 10:00:00,2026-01-23 15:00:00,UP,Strong,88940.0,89711.2,opp_strong,5.0,0.008671014166854007,0.007871014166854007,True
2026-01-23 15:00:00,2026-01-23 16:00:00,2026-01-23 17:00:00,DOWN,Strong,89711.2,91021.84328738162,trail_stop,1.0,-0.014609583724012332,-0.015409583724012332,True
2026-01-23 17:00:00,2026-01-23 18:00:00,2026-01-23 20:00:00,DOWN,Strong,90576.0,89456.4,opp_strong,2.0,0.012360890302066885,0.011560890302066884,False
2026-01-23 20:00:00,2026-01-23 21:00:00,2026-01-25 00:00:00,UP,Strong,89456.5,89275.7,opp_signal,27.0,-0.0020210940512986886,-0.0028210940512986885,True
2026-01-25 08:00:00,2026-01-25 09:00:00,2026-01-25 16:00:00,UP,Strong,88254.9,88167.09489595148,trail_stop,7.0,-0.0009949034450044136,-0.0017949034450044136,False
2026-01-28 15:00:00,2026-01-28 16:00:00,2026-01-28 21:00:00,UP,Strong,89444.5,88947.01537326911,trail_stop,5.0,-0.005561936471564888,-0.006361936471564888,False
2026-01-29 18:00:00,2026-01-29 19:00:00,2026-01-30 01:00:00,UP,Strong,83440.8,82324.40617150787,trail_stop,6.0,-0.013379471775104457,-0.014179471775104457,False
2026-01-30 02:00:00,2026-01-30 03:00:00,2026-01-31 14:00:00,UP,Strong,82128.0,81875.45684313706,trail_stop,35.0,-0.0030749946043120424,-0.0038749946043120423,False
2026-02-03 05:00:00,2026-02-03 06:00:00,2026-02-03 20:00:00,DOWN,Strong,78202.8,75354.07351524563,trail_stop,14.0,0.03642742311981628,0.03562742311981628,False
2026-02-04 03:00:00,2026-02-04 04:00:00,2026-02-04 13:00:00,UP,Strong,76661.1,74838.4,opp_signal,9.0,-0.023776074175820727,-0.024576074175820726,False
2026-02-04 21:00:00,2026-02-04 22:00:00,2026-02-05 16:00:00,DOWN,Strong,72772.9,68262.7,opp_signal,18.0,0.06197636757639169,0.06117636757639169,False
2026-02-08 20:00:00,2026-02-08 21:00:00,2026-02-09 00:00:00,UP,Strong,70801.5,70249.52173173083,trail_stop,3.0,-0.007796138051724522,-0.008596138051724522,False
2026-02-09 00:00:00,2026-02-09 01:00:00,2026-02-09 07:00:00,UP,Strong,70453.8,70393.5,opp_signal,6.0,-0.0008558800235047848,-0.0016558800235047847,False
2026-02-15 08:00:00,2026-02-15 09:00:00,2026-02-15 12:00:00,UP,Strong,70405.1,69284.9,opp_strong,3.0,-0.015910779190712154,-0.016710779190712153,False
2026-02-15 12:00:00,2026-02-15 13:00:00,2026-02-15 14:00:00,DOWN,Strong,69285.0,69140.0,opp_signal,1.0,0.0020928050804647214,0.0012928050804647214,True
2026-02-15 16:00:00,2026-02-15 17:00:00,2026-02-15 21:00:00,UP,Strong,68977.6,68809.0,opp_signal,4.0,-0.0024442717635870803,-0.0032442717635870802,False
2026-02-15 22:00:00,2026-02-15 23:00:00,2026-02-16 04:00:00,UP,Strong,68962.2,68832.4,opp_strong,5.0,-0.0018821905333646916,-0.0026821905333646915,False
2026-02-16 04:00:00,2026-02-16 05:00:00,2026-02-16 05:00:00,DOWN,Strong,68832.4,68350.1,opp_strong,0.0,0.007006874669486907,0.006206874669486906,True
2026-02-16 05:00:00,2026-02-16 06:00:00,2026-02-16 09:00:00,UP,Strong,68350.1,68961.1,opp_signal,3.0,0.008939270023013757,0.008139270023013756,True
2026-02-16 10:00:00,2026-02-16 11:00:00,2026-02-16 12:00:00,DOWN,Strong,68762.0,69614.51125750088,trail_stop,1.0,-0.01239799973096889,-0.01319799973096889,False
2026-02-16 12:00:00,2026-02-16 13:00:00,2026-02-16 15:00:00,DOWN,Strong,69739.3,67505.5,opp_strong,2.0,0.03203072012480768,0.031230720124807678,False
2026-02-16 15:00:00,2026-02-16 16:00:00,2026-02-17 14:00:00,UP,Strong,67505.5,67308.18864046366,trail_stop,22.0,-0.0029228930907310158,-0.0037228930907310157,True
2026-02-19 13:00:00,2026-02-19 14:00:00,2026-02-19 20:00:00,UP,Strong,65871.2,67118.7,opp_signal,6.0,0.018938473870219408,0.01813847387021941,False
2026-02-20 07:00:00,2026-02-20 08:00:00,2026-02-20 11:00:00,DOWN,Strong,67794.8,67290.5,opp_signal,3.0,0.007438623611250472,0.006638623611250472,False
2026-02-20 14:00:00,2026-02-20 15:00:00,2026-02-20 15:00:00,UP,Strong,67043.2,67547.6,opp_signal,0.0,0.007523507231158577,0.006723507231158577,False
2026-02-21 20:00:00,2026-02-21 21:00:00,2026-02-22 15:00:00,DOWN,Strong,68180.9,67659.9,opp_signal,18.0,0.007641436238008059,0.006841436238008059,False
2026-02-23 02:00:00,2026-02-23 03:00:00,2026-02-23 03:00:00,UP,Strong,64742.5,64894.0,opp_signal,0.0,0.0023400393868016067,0.0015400393868016068,False
2026-02-27 04:00:00,2026-02-27 05:00:00,2026-02-27 08:00:00,UP,Strong,67709.1,67897.4,opp_signal,3.0,0.0027810146642031075,0.0019810146642031076,False
2026-02-27 09:00:00,2026-02-27 10:00:00,2026-02-27 12:00:00,UP,Strong,67318.3,65758.50416131667,trail_stop,2.0,-0.02317045793912409,-0.023970457939124088,False
2026-02-27 13:00:00,2026-02-27 14:00:00,2026-02-28 00:00:00,UP,Strong,66240.0,65906.3,opp_signal,10.0,-0.005037741545893648,-0.0058377415458936485,False
2026-02-28 02:00:00,2026-02-28 03:00:00,2026-02-28 05:00:00,DOWN,Strong,65927.0,65558.6,opp_signal,2.0,0.00558799884720973,0.004787998847209729,False
2026-02-28 07:00:00,2026-02-28 08:00:00,2026-03-01 03:00:00,UP,Strong,63787.4,67474.7,opp_strong,19.0,0.05780608709557056,0.057006087095570555,False
2026-03-01 03:00:00,2026-03-01 04:00:00,2026-03-02 15:00:00,DOWN,Strong,67474.8,67415.44951205225,trail_stop,35.0,0.0008795948701997292,7.959487019972911e-05,True
2026-03-05 04:00:00,2026-03-05 05:00:00,2026-03-09 05:00:00,DOWN,Strong,72784.1,67876.24192691737,trail_stop,96.0,0.06743036010725745,0.06663036010725745,False
2026-03-17 07:00:00,2026-03-17 08:00:00,2026-03-18 15:00:00,DOWN,Strong,74212.8,71436.4,opp_signal,31.0,0.03741133604984592,0.03661133604984592,False
2026-03-19 03:00:00,2026-03-19 04:00:00,2026-03-19 08:00:00,DOWN,Strong,71180.0,69957.4,opp_signal,4.0,0.01717617308232655,0.016376173082326553,False
2026-03-20 17:00:00,2026-03-20 18:00:00,2026-03-20 21:00:00,UP,Strong,69970.9,70498.3,opp_signal,3.0,0.007537419127094491,0.006737419127094491,False
2026-03-22 08:00:00,2026-03-22 09:00:00,2026-03-22 21:00:00,UP,Strong,68756.6,67818.96719268021,trail_stop,12.0,-0.013636986228519055,-0.014436986228519055,False
2026-03-23 00:00:00,2026-03-23 01:00:00,2026-03-23 11:00:00,UP,Strong,67642.5,70097.3,opp_signal,10.0,0.03629079350999742,0.03549079350999742,False
2026-03-23 13:00:00,2026-03-23 14:00:00,2026-03-23 18:00:00,UP,Strong,71449.9,71040.5,opp_signal,4.0,-0.005729889055128057,-0.006529889055128057,False
2026-03-23 23:00:00,2026-03-24 00:00:00,2026-03-24 13:00:00,DOWN,Strong,70866.0,70067.0,opp_signal,13.0,0.011274800327378487,0.010474800327378487,False
