test,L,H,ic,ic_lo,ic_hi,spread,sp_lo,sp_hi,year,n,long_wr,drift,regime
T1_ic,72.0,24.0,-0.01519641193328144,,,,,,,,,,
T1_ic,72.0,48.0,-0.003612948069276097,,,,,,,,,,
T1_ic,72.0,72.0,-0.006189668768920809,,,,,,,,,,
T1_ic,72.0,120.0,-0.03437243854051577,,,,,,,,,,
T1_ic,72.0,168.0,-0.045603755068472605,,,,,,,,,,
T1_ic,72.0,336.0,0.002136620386834669,,,,,,,,,,
T1_ic,120.0,24.0,-0.02048128852829859,,,,,,,,,,
T1_ic,120.0,48.0,-0.028613462568573667,,,,,,,,,,
T1_ic,120.0,72.0,-0.03240042405062005,,,,,,,,,,
T1_ic,120.0,120.0,-0.05137735296200826,,,,,,,,,,
T1_ic,120.0,168.0,-0.053562714431778326,,,,,,,,,,
T1_ic,120.0,336.0,-0.01006732883685844,,,,,,,,,,
T1_ic,168.0,24.0,-0.02879376246702382,,,,,,,,,,
T1_ic,168.0,48.0,-0.03561015359553534,,,,,,,,,,
T1_ic,168.0,72.0,-0.03697123821775536,,,,,,,,,,
T1_ic,168.0,120.0,-0.04899119733328222,,,,,,,,,,
T1_ic,168.0,168.0,-0.03647871301811488,,,,,,,,,,
T1_ic,168.0,336.0,-0.007084077959997409,,,,,,,,,,
T1_ic,336.0,24.0,0.01049520991101966,,,,,,,,,,
T1_ic,336.0,48.0,0.024686857619175356,,,,,,,,,,
T1_ic,336.0,72.0,0.023742075202892017,,,,,,,,,,
T1_ic,336.0,120.0,0.01931384830959018,,,,,,,,,,
T1_ic,336.0,168.0,0.015041838234627814,,,,,,,,,,
T1_ic,336.0,336.0,0.0032585265262310317,,,,,,,,,,
T2,168.0,24.0,-0.02879376246702382,-0.06892331852087473,0.011551522604270194,-0.00026741626841185516,-0.0021555641480707575,0.0016762997892591765,,,,,
T2,168.0,48.0,-0.03561015359553534,-0.08886956695605515,0.02242915211284293,-0.0008121846720681816,-0.004300326617596131,0.0030344410481193853,,,,,
T2,168.0,72.0,-0.03697123821775536,-0.1007973646056769,0.0307276239017213,-0.0016436136384324648,-0.006976192338925629,0.004100656300234583,,,,,
T2,168.0,120.0,-0.04899119733328222,-0.13611289805776067,0.02902198944975091,-0.003831262411505819,-0.012595047705951427,0.004141131793153583,,,,,
T2,168.0,168.0,-0.03647871301811488,-0.13431537588866435,0.05797245412225482,-0.0038696336435099093,-0.016021653662209152,0.006358264830036489,,,,,
T2,168.0,336.0,-0.007084077959997409,-0.13373887558662328,0.09032064653566395,-0.002233614863289761,-0.021942276545962668,0.014643099887019038,,,,,
T3_year,,,-0.21747103201537715,,,-0.03614108569693096,,,2022.0,4721.0,0.38523489932885907,-0.004519990106409025,
T3_year,,,-0.07971425108370377,,,-0.005324772626377677,,,2023.0,8760.0,0.5351688102893891,0.020975413149095932,
T3_year,,,-0.014317138165730596,,,-0.010719463242307853,,,2024.0,8784.0,0.5415672235481305,0.01800854721109005,
T3_year,,,-0.10061749644422087,,,-0.0040017318969474275,,,2025.0,8760.0,0.4830316742081448,2.5421395740001503e-06,
T3_year,,,0.2656002172653809,,,0.04041594792043918,,,2026.0,3638.0,0.5842511013215859,-0.014001499792568818,
T4_regime,,,,,,-0.00518402454202399,-0.018307083698244183,0.008211885919193371,,19351.0,0.5146880678376742,,BULL (30d ret>0)
T4_regime,,,,,,-0.002927752761271615,-0.020063368983835837,0.011063310925720143,,14760.0,0.5193567599761763,,BEAR (30d ret<0)
