exit_ts,entry_ts,side,tier,exit_reason,bars_held,net_bps,gross_bps,win,regret_4h_bps,regret_12h_bps,regret_24h_bps
2026-01-21 12:00:00,2026-01-21 00:00:00,LONG,Strong,trail_stop,12,-70.55254361718698,-62.552543617186984,False,-87.9715867296367,173.21414226490475,186.36795048627386
2026-01-21 16:00:00,2026-01-21 13:00:00,LONG,Strong,trail_stop,3,29.92066735422095,37.92066735422095,True,135.27494221410427,111.38976070057109,4.451588032450302
2026-01-22 01:00:00,2026-01-21 17:00:00,LONG,Moderate,opp_signal,8,239.3463258131692,247.3463258131692,True,-9.914389854237697,-55.633827054405444,-19.695551625328072
2026-01-22 22:00:00,2026-01-22 02:00:00,SHORT,Moderate,opp_signal,20,58.416912675831824,66.41691267583182,True,-34.32070204591696,32.26034016126713,-31.420518740895588
2026-01-23 09:00:00,2026-01-23 01:00:00,SHORT,Moderate,opp_signal,8,98.10309732495215,106.10309732495216,True,-41.67983098699365,-40.62293751173578,-70.55326124720176
2026-01-23 17:00:00,2026-01-23 15:00:00,SHORT,Strong,trail_stop,2,-153.88602089114832,-145.88602089114832,False,188.83341421580792,140.1298117168699,181.31857909077348
2026-01-23 20:00:00,2026-01-23 18:00:00,SHORT,Strong,opp_signal,2,105.81833493026127,113.81833493026127,True,4.717381875416079,-19.98739050531912,13.71617905482415
2026-01-25 16:00:00,2026-01-23 21:00:00,LONG,Strong,trail_stop,43,-156.58562003683517,-148.58562003683517,False,-154.13733202182732,-31.180986215548963,-44.889533228803955
2026-01-30 01:00:00,2026-01-29 18:00:00,LONG,Moderate,trail_stop,7,-141.80653774525908,-133.80653774525908,False,66.69878579600694,46.21883242990963,199.3933353637638
2026-02-03 20:00:00,2026-02-03 05:00:00,SHORT,Moderate,trail_stop,15,356.28655264279627,364.2865526427963,True,-68.59967360124756,-157.55305975952868,247.5212590671711
2026-02-04 13:00:00,2026-02-04 01:00:00,LONG,Moderate,opp_signal,12,-211.37208084616253,-203.37208084616253,False,-306.5538547056053,-327.2651473040575,-692.4386411254105
2026-02-06 01:00:00,2026-02-04 21:00:00,SHORT,Moderate,trail_stop,28,1271.6539366356662,1279.6539366356662,True,-457.75002993993127,-601.0835103466087,-1098.4330385563287
2026-02-09 10:00:00,2026-02-07 15:00:00,LONG,Moderate,trail_stop,43,-53.3433420775129,-45.343342077512894,False,61.57983544863802,221.7049887395443,11.062951001444812
2026-02-11 14:00:00,2026-02-10 06:00:00,SHORT,Moderate,trail_stop,32,29.58631872648799,37.58631872648799,True,200.30071649855964,175.65543296097812,155.36789027362653
2026-02-12 15:00:00,2026-02-11 22:00:00,SHORT,Moderate,opp_signal,17,34.28988603988571,42.2898860398857,True,200.6199055240143,87.53185211676788,-230.22933524073494
2026-02-15 12:00:00,2026-02-12 17:00:00,LONG,Moderate,opp_signal,67,588.6300572465077,596.6300572465077,True,-44.35309858280641,-68.48534096173914,65.58427593891436
2026-02-16 04:00:00,2026-02-15 14:00:00,LONG,Moderate,opp_signal,14,-52.489441712468604,-44.489441712468604,False,-15.675757346830009,-142.1423631894274,-55.54070466814878
2026-02-16 10:00:00,2026-02-16 05:00:00,LONG,Strong,opp_signal,5,52.26326223370403,60.26326223370404,True,-54.5795642942327,-29.216718536400073,-136.68886885198134
2026-02-16 15:00:00,2026-02-16 12:00:00,SHORT,Strong,opp_signal,3,312.3072012480768,320.30720124807675,True,-56.0102510165847,-138.96645458518282,21.020509439970695
2026-02-17 14:00:00,2026-02-16 16:00:00,LONG,Strong,trail_stop,22,-83.22398588958201,-75.22398588958201,False,106.87357065310589,-6.782408868574307,-22.730478114233637
2026-02-19 13:00:00,2026-02-19 05:00:00,SHORT,Moderate,opp_signal,8,138.06358343456026,146.0635834345603,True,-70.57712627066286,-209.19612820170272,-138.69490763793675
2026-02-20 04:00:00,2026-02-19 14:00:00,LONG,Strong,opp_signal,14,119.51970040026039,127.51970040026039,True,90.9585829798121,79.54971410891869,82.3759006610306
2026-02-20 11:00:00,2026-02-20 07:00:00,SHORT,Moderate,opp_signal,4,66.37159541970107,74.37159541970107,True,-38.20747356610604,-102.36214621677694,-114.48867224942512
2026-02-20 22:00:00,2026-02-20 14:00:00,LONG,Strong,opp_signal,8,142.14199799532335,150.14199799532335,True,-11.68262066898066,19.809022216083356,-16.634876223000962
2026-02-23 02:00:00,2026-02-21 20:00:00,SHORT,Strong,opp_signal,30,496.3201248443474,504.3201248443474,True,-150.64316429418676,-178.10584717279536,102.26682977461425
2026-02-27 11:00:00,2026-02-27 04:00:00,LONG,Moderate,trail_stop,7,-201.64030461523018,-193.64030461523018,False,-49.01903841735538,-84.65260052192689,-389.7216765955457
2026-02-28 02:00:00,2026-02-27 12:00:00,LONG,Moderate,opp_signal,14,-4.282381218286606,3.7176187817133943,True,-417.5988860389297,-231.24096537225213,252.0063888943677
2026-02-28 06:00:00,2026-02-28 05:00:00,LONG,Moderate,trail_stop,1,-211.66786316448392,-203.66786316448392,False,-40.30961847883327,256.856295319182,415.22540767127157
2026-03-01 03:00:00,2026-02-28 07:00:00,LONG,Strong,opp_signal,20,569.8950404775784,577.8950404775785,True,-53.471893909865905,-98.39243449767012,-101.87522137927166
2026-03-08 04:00:00,2026-03-05 04:00:00,SHORT,Strong,time_cap,72,841.2663222686315,849.2663222686314,True,-133.35795695970242,-34.112731165552916,-74.71168586258602
2026-03-09 03:00:00,2026-03-08 09:00:00,SHORT,Moderate,trail_stop,18,126.84862953023534,134.84862953023534,True,-113.0066763948421,-311.88166547582824,-395.58144430787826
2026-03-18 18:00:00,2026-03-17 07:00:00,SHORT,Moderate,opp_signal,35,415.94361072969895,423.943610729699,True,-7.246733693090275,72.34069498286898,179.972279484708
2026-03-19 03:00:00,2026-03-18 19:00:00,LONG,Moderate,opp_signal,8,13.075512844517252,21.075512844517252,True,-145.39196403484044,-253.9055914582752,-67.98257937622846
2026-03-21 23:00:00,2026-03-20 11:00:00,LONG,Moderate,trail_stop,36,-149.48814537851774,-141.48814537851771,False,-19.621619284087583,-182.34439721718206,-232.22684878888387
2026-03-23 11:00:00,2026-03-23 07:00:00,LONG,Strong,opp_signal,4,254.24636195941733,262.2463619594173,True,2.125616821189144,109.6475898501071,145.38363103856943
2026-03-23 23:00:00,2026-03-23 14:00:00,LONG,Moderate,opp_signal,9,-84.16601642911891,-76.16601642911891,False,-49.92528141179162,35.34845391083723,-48.26016462078376
2026-03-24 16:00:00,2026-03-24 02:00:00,SHORT,Moderate,opp_signal,14,129.42615314701112,137.42615314701112,True,-89.03025704012954,-214.51928988902577,-265.19007664694414
2026-03-26 05:00:00,2026-03-24 17:00:00,LONG,Strong,trail_stop,36,134.6381251790021,142.6381251790021,True,-93.24794274240732,-247.32505138469702,-228.41979727759448
