signal_ts,entry_ts,exit_ts,direction,tier,entry_px,exit_px,exit_reason,hold_h,gross,net,regime
2025-12-01 08:00:00,2025-12-01 09:00:00,2025-12-01 21:00:00,UP,Strong,86811.0,86380.1,time_exit,12.0,-0.004963656679452977,-0.005763656679452977,BEAR
2025-12-01 09:00:00,2025-12-01 10:00:00,2025-12-01 22:00:00,UP,Strong,86659.2,86518.2,time_exit,12.0,-0.0016270632546804276,-0.0024270632546804275,BEAR
2025-12-01 10:00:00,2025-12-01 11:00:00,2025-12-01 23:00:00,UP,Moderate,86599.0,86241.6,time_exit,12.0,-0.004127068441898807,-0.004927068441898807,BEAR
2025-12-01 11:00:00,2025-12-01 12:00:00,2025-12-02 00:00:00,UP,Moderate,86100.0,86472.0,time_exit,12.0,0.004320557491289234,0.0035205574912892342,BEAR
2025-12-01 12:00:00,2025-12-01 13:00:00,2025-12-02 01:00:00,UP,Strong,85396.3,86409.9,time_exit,12.0,0.01186936670558314,0.01106936670558314,BEAR
2025-12-01 13:00:00,2025-12-01 14:00:00,2025-12-02 02:00:00,UP,Strong,85943.7,86501.2,time_exit,12.0,0.006486804733796703,0.005686804733796702,BEAR
2025-12-01 14:00:00,2025-12-01 15:00:00,2025-12-02 03:00:00,UP,Strong,86017.4,86936.0,time_exit,12.0,0.01067923466647458,0.00987923466647458,BEAR
2025-12-01 15:00:00,2025-12-01 16:00:00,2025-12-02 04:00:00,UP,Strong,84650.0,86924.9,time_exit,12.0,0.026874187832250485,0.026074187832250486,BEAR
2025-12-01 16:00:00,2025-12-01 17:00:00,2025-12-02 05:00:00,UP,Strong,84540.4,86968.7,time_exit,12.0,0.028723545192594235,0.027923545192594237,BEAR
2025-12-01 17:00:00,2025-12-01 18:00:00,2025-12-02 06:00:00,UP,Moderate,84902.6,87043.7,time_exit,12.0,0.025218308979936932,0.024418308979936933,BEAR
2025-12-01 18:00:00,2025-12-01 19:00:00,2025-12-02 07:00:00,UP,Moderate,85159.1,86965.0,time_exit,12.0,0.021206189356157923,0.020406189356157924,BEAR
2025-12-01 19:00:00,2025-12-01 20:00:00,2025-12-02 08:00:00,UP,Moderate,84985.0,86438.0,time_exit,12.0,0.017097134788492063,0.016297134788492065,BEAR
2025-12-01 20:00:00,2025-12-01 21:00:00,2025-12-02 09:00:00,UP,Strong,85474.1,86734.4,time_exit,12.0,0.014744817435924817,0.013944817435924817,BEAR
2025-12-01 21:00:00,2025-12-01 22:00:00,2025-12-02 10:00:00,UP,Moderate,86380.1,87241.8,time_exit,12.0,0.009975677268259764,0.009175677268259763,BEAR
2025-12-01 22:00:00,2025-12-01 23:00:00,2025-12-02 11:00:00,UP,Moderate,86518.4,87326.9,time_exit,12.0,0.00934483300662059,0.00854483300662059,BEAR
2025-12-02 01:00:00,2025-12-02 02:00:00,2025-12-02 14:00:00,UP,Moderate,86409.9,89225.1,time_exit,12.0,0.03257960025413764,0.03177960025413764,CHOPPY
2025-12-02 03:00:00,2025-12-02 04:00:00,2025-12-02 16:00:00,UP,Moderate,86935.9,90713.9,time_exit,12.0,0.04345730590009422,0.04265730590009422,BULL
2025-12-02 11:00:00,2025-12-02 12:00:00,2025-12-03 00:00:00,UP,Moderate,87327.0,91620.3,time_exit,12.0,0.04916348895530587,0.048363488955305865,BULL
2025-12-02 20:00:00,2025-12-02 21:00:00,2025-12-03 09:00:00,UP,Moderate,90976.1,93132.1,time_exit,12.0,0.023698531812201162,0.022898531812201164,BULL
2025-12-09 04:00:00,2025-12-09 05:00:00,2025-12-09 17:00:00,UP,Moderate,89875.3,93884.5,time_exit,12.0,0.04460847418589986,0.04380847418589986,CHOPPY
