feature,cond_ic,raw_ic,abs_cond_ic,frac_fold_consist,n_folds,nonzero_frac,n,max_corr_deployed,family,pass_cond_ic,pass_consist,pass_notredundant,pass_notsparse,SCREEN_PASS
dfp_fcvd_cum_24h_rank,0.10660157205541392,-0.006621301243987102,0.10660157205541392,0.38961038961038963,77,0.8733766233766234,3696,0.762219598287238,dfp,True,False,True,True,False
init_break_up_atr,0.10495522751583419,-0.006589302293971588,0.10495522751583419,0.37662337662337664,77,0.9997294372294372,3696,0.6295314317783437,init,True,False,True,True,False
cg_liq_long_cum_8h,-0.1017741236766456,-0.03360025475476747,0.1017741236766456,0.5194805194805194,77,1.0,3696,0.5937777216542269,cg,True,False,True,True,False
imb_8b,0.09697085056993596,-0.006020901962386903,0.09697085056993596,0.5064935064935064,77,1.0,3696,0.5651782997351562,imb,True,False,True,True,False
funding_pain_24h,0.09492259654544254,-0.04393328265478196,0.09492259654544254,0.38961038961038963,77,1.0,3696,0.8565668716183543,funding,True,False,True,True,False
funding_pain_48h,0.09195859720582066,-0.02787730569935576,0.09195859720582066,0.4025974025974026,77,1.0,3696,0.5762852118766086,funding,True,False,True,True,False
init_liq_long_cluster,-0.08886702514191192,-0.023174380563325946,0.08886702514191192,0.5324675324675324,77,1.0,3696,0.48680644906480725,init,True,False,True,True,False
init_liq_cluster_imb,0.08669847994950836,0.01976793908819183,0.08669847994950836,0.42857142857142855,77,1.0,3696,0.5744296835583691,init,True,False,True,True,False
dvol_ma_24h,0.08613786786867535,0.045765456308571026,0.08613786786867535,0.6883116883116883,77,1.0,3696,0.8762336249107472,dvol,True,True,True,True,True
taker_delta_ma_4h,0.08450665735559715,-0.019500596925733714,0.08450665735559715,0.42857142857142855,77,1.0,3696,0.4956864918314479,taker,True,False,True,True,False
cg_liq_long_cum_4h,-0.08419799277540549,0.004067995365181164,0.08419799277540549,0.44155844155844154,77,1.0,3696,0.8168346832008063,cg,True,False,True,True,False
init_break_dn_atr,-0.08027610596588186,0.024306668232603135,0.08027610596588186,0.33766233766233766,77,1.0,3696,0.6271200651045993,init,True,False,True,True,False
dfp_scvd_cum_24h_rank,0.07903031710486762,0.010502258165322135,0.07903031710486762,0.4155844155844156,77,0.8398268398268398,3696,0.47372579969383694,dfp,True,False,True,True,False
dfp_flow_consensus_persist_8h,0.0784668077639774,-0.00019219438260086922,0.0784668077639774,0.4675324675324675,77,0.9556277056277056,3696,0.5178036082416178,dfp,True,False,True,True,False
dfp_long_build_persist_8h,0.07664161017949893,-9.002393463213872e-06,0.07664161017949893,0.4935064935064935,77,0.9821428571428571,3696,0.5443800091152488,dfp,True,False,True,True,False
dfp_net_build_8h,0.07527041201846328,0.0028422166046124,0.07527041201846328,0.5324675324675324,77,0.8958333333333334,3696,0.3496328890069708,dfp,True,False,True,True,False
imb_5b,0.07521179632166011,-0.021473243352007648,0.07521179632166011,0.4675324675324675,77,1.0,3696,0.44664344327809896,imb,True,False,True,True,False
return_skew,0.06940851291187645,0.011237967894445753,0.06940851291187645,0.44155844155844154,77,1.0,3696,0.500150625522201,return,True,False,True,True,False
dvol_low,0.06815621109917619,0.04284912530335592,0.06815621109917619,0.6883116883116883,77,1.0,3696,0.8753934677890659,dvol,True,True,True,True,True
dvol_open,0.06810148075517827,0.04259266225018748,0.06810148075517827,0.7142857142857143,77,1.0,3696,0.8758793139717699,dvol,True,True,True,True,True
ret_5b,0.06790263535708312,-0.05222726448229114,0.06790263535708312,0.35064935064935066,77,1.0,3696,0.5535484442623837,ret,True,False,True,True,False
etf_flow_delta_1d,0.06751581406283766,0.05283678469322638,0.06751581406283766,0.4473684210526316,38,0.9935064935064936,3696,0.4446262412464892,etf,True,False,True,True,False
dvol_close,0.0672553175663018,0.044765912999373506,0.0672553175663018,0.6753246753246753,77,1.0,3696,0.8762870856391565,dvol,True,True,True,True,True
dvol_high,0.06655042356267106,0.044013067469868536,0.06655042356267106,0.6883116883116883,77,1.0,3696,0.8765062379442982,dvol,True,True,True,True,True
etf_net_flow_usd,0.06383462717561696,0.02539097762959019,0.06383462717561696,0.47368421052631576,38,0.6063311688311688,3696,0.4023871897526997,etf,True,False,True,True,False
dfp_liq_short_dom_streak,0.0634564890600273,-0.001991192580537866,0.0634564890600273,0.5324675324675324,77,0.5054112554112554,3696,0.5301762198860144,dfp,True,False,True,True,False
dvol_zscore_72h,-0.06257085865282248,-0.0004568836875908074,0.06257085865282248,0.37662337662337664,77,1.0,3696,0.4878718013125716,dvol,True,False,True,True,False
etf_flow_sign_persistence,0.06203969811522849,0.017657509639752177,0.06203969811522849,0.39473684210526316,38,0.6063311688311688,3696,0.4081635546083967,etf,True,False,True,True,False
imb_3b,0.061458660311184195,-0.028857745955323148,0.061458660311184195,0.38961038961038963,77,1.0,3696,0.5588416482526763,imb,True,False,True,True,False
absorption_cumsum_4h,-0.06024571014844004,0.034863377707939895,0.06024571014844004,0.45454545454545453,77,1.0,3696,0.525035178579684,absorption,True,False,True,True,False
absorption_ma_4h,-0.06024571014844004,0.034863377707939895,0.06024571014844004,0.45454545454545453,77,1.0,3696,0.525035178579684,absorption,True,False,True,True,False
ret_3b,0.06008253176655454,-0.049667205543198326,0.06008253176655454,0.45454545454545453,77,0.9997294372294372,3696,0.5256796237145892,ret,True,False,True,True,False
ret_2b,0.059749357265776064,-0.04304558287387506,0.059749357265776064,0.5194805194805194,77,1.0,3696,0.6681511613010217,ret,True,False,True,True,False
fg_extreme_fear,0.05759300460684365,0.03173766731943157,0.05759300460684365,0.5,6,0.83495670995671,3696,0.5932939053538377,fg,True,False,True,True,False
init_bo_dn,-0.05536990881561443,0.005119542085699449,0.05536990881561443,0.417910447761194,67,0.09740259740259741,3696,0.3624364087665624,init,True,False,True,False,False
etf_flow_zscore_30d,0.053563442102364994,0.030860186185081084,0.053563442102364994,0.42105263157894735,38,1.0,3696,0.32929543892837687,etf,True,False,True,True,False
dfp_liq_long_dom_streak,-0.05325712242329214,0.016916164552014324,0.05325712242329214,0.4935064935064935,77,0.47835497835497837,3696,0.5333875144562207,dfp,True,False,True,True,False
ls_ratio_zscore,-0.050740204927413,-0.011822890988494669,0.050740204927413,0.4025974025974026,77,1.0,3696,1.0,ls,True,False,False,True,False
etf_flow_ibit,0.0506358627459448,-0.003400453154366687,0.0506358627459448,0.5526315789473685,38,0.6063311688311688,3696,0.4447924057080195,etf,True,False,True,True,False
dvol_change_24h,-0.04914219201870047,0.00803504212728074,0.04914219201870047,0.33766233766233766,77,0.9986471861471862,3696,0.5004998584865012,dvol,True,False,True,True,False
liq_imbalance_zscore,-0.04798271617468605,0.023968001325444795,0.04798271617468605,0.6103896103896104,77,1.0,3636,1.0,liq,True,True,False,True,False
etf_btc_price,-0.04743742201850361,-0.04524322001089811,0.04743742201850361,0.5,38,1.0,3696,0.7106258441726391,etf,True,False,True,True,False
funding_squeeze,0.046849761523711765,-0.05511828753505525,0.046849761523711765,0.4675324675324675,77,1.0,3696,0.8491768399574824,funding,True,False,True,True,False
init_oi_bullish_build,0.046650450498431216,-0.010488205183363828,0.046650450498431216,0.5194805194805194,77,0.38095238095238093,3696,0.7401962688436607,init,True,False,True,True,False
oi_to_volume_zscore,0.04529396178191255,-0.014439293645653772,0.04529396178191255,0.4935064935064935,77,1.0,3696,0.9272995326134085,oi,True,False,False,True,False
tox_pressure_zscore,0.04508087452287903,0.05177147172769195,0.04508087452287903,0.5844155844155844,77,1.0,3696,0.11534638376195458,tox,True,False,True,True,False
tox_accum_zscore,-0.04484114591962707,-0.004150672753182268,0.04484114591962707,0.5324675324675324,77,1.0,3696,0.2995339096935937,tox,True,False,True,True,False
dfp_taker_4h_24h_rank,0.044658157307600976,-0.010821247495074411,0.044658157307600976,0.4935064935064935,77,0.9347943722943723,3696,0.42996103396277374,dfp,True,False,True,True,False
tox_accum,-0.04452257494734608,-0.013695374792548632,0.04452257494734608,0.4025974025974026,77,1.0,3696,0.5025791439987009,tox,True,False,True,True,False
trade_count_accel,-0.0428816924145946,0.03448435383665755,0.0428816924145946,0.5064935064935064,77,1.0,3696,0.9723777273390151,trade,True,False,False,True,False
init_break_funding_align_dn,-0.04262770182191205,-0.0066404486386458465,0.04262770182191205,0.3076923076923077,52,0.044372294372294376,3696,0.2541570616863844,init,True,False,True,False,False
large_small_bar_div,0.042125547746529456,0.0007873836200163848,0.042125547746529456,0.5584415584415584,77,1.0,3696,0.3542934614045979,large,True,False,True,True,False
large_taker_signal,0.04152448383289833,0.010935953434625691,0.04152448383289833,0.5584415584415584,77,1.0,3696,0.2236375657542035,large,True,False,True,True,False
dfp_oi_sign_streak,0.040556403841008636,-0.012243688612838862,0.040556403841008636,0.5454545454545454,77,0.9983766233766234,3696,0.5293455567631533,dfp,True,False,True,True,False
wick_asymmetry,0.04044453302131077,0.024913448372643934,0.04044453302131077,0.5454545454545454,77,0.9994588744588745,3696,0.470520382228324,wick,True,False,True,True,False
avg_trade_notional,-0.0404096430091248,-0.009387545655129765,0.0404096430091248,0.5194805194805194,77,1.0,3696,0.5628942504529268,avg,True,False,True,True,False
price_change_pct,0.040333412699698784,-0.03003501286452426,0.040333412699698784,0.4805194805194805,77,1.0,3696,0.7449280075121142,price,True,False,True,True,False
log_return,0.040333412699698784,-0.03003501286452426,0.040333412699698784,0.4805194805194805,77,1.0,3696,0.7449280075121142,log,True,False,True,True,False
ret_1b,0.040333412699698784,-0.03003501286452426,0.040333412699698784,0.4805194805194805,77,1.0,3696,0.7449280075121142,ret,True,False,True,True,False
dfp_flow_consensus_signed,0.040289475799960756,-0.017365214499713417,0.040289475799960756,0.4805194805194805,77,0.987012987012987,3696,0.6701265020306052,dfp,True,False,True,True,False
