,A_swing_high_dist_4h,A_swing_low_dist_4h,A_swing_high_dist_24h,A_swing_low_dist_24h,A_swing_high_dist_48h,A_swing_low_dist_48h,A_swing_high_dist_168h,A_swing_low_dist_168h,B_vpoc_dist_24h,C_round_1k_dist_pct,C_round_500_dist_pct,D_avwap_dist_48h,E_liq_z_4h_vs_7d,E_liq_asym_4h,F_bull_sweep_mag,F_bear_sweep_mag,G_depth_imb_4h_mean,G_near_imb_4h_mean,G_depth_imb_24h_z,H_tr_atr24_ratio,H_vacuum_bar
A_swing_high_dist_4h,1.0,-0.2097786593567295,0.4406249462818965,-0.14096048221670662,0.292948879370859,-0.10140201260844928,0.041238191991564775,-0.012231714989338253,,0.03422043626239435,0.06525156012396517,-0.15903139603918498,0.3517250608464038,0.17472450363868366,0.22572423743593104,-0.003943849333726459,-0.04245019389447296,-0.04995801934498279,-0.06823097948990227,0.26281323679781604,0.030100376374484265
A_swing_low_dist_4h,-0.2097786593567295,1.0,-0.1688939369133332,0.4570208616374262,-0.1588288610992348,0.3325327146390032,-0.19836460096670883,0.2042501012188294,,-0.06084188153208532,-0.057076029161519416,0.28398138470887346,0.3507464885335187,-0.04842955772796335,-0.04448287002306381,0.18914479515796148,0.03899271384946719,0.03244276813749763,0.036052834976759894,0.24392060229357568,0.06399830477719788
A_swing_high_dist_24h,0.4406249462818965,-0.1688939369133332,1.0,-0.4909387509940422,0.8055763559726281,-0.4386145581536651,0.3506512141588508,-0.28577865785383805,,0.020408310194177954,0.006745075904896267,-0.6598323267734781,0.11677935103041635,0.46649449118255815,0.23553913872636462,-0.2431630328520482,-0.008475704241668207,-0.004503440095722076,-0.0081686309606887,-0.0912592129407967,-0.042522822668858776
A_swing_low_dist_24h,-0.14096048221670662,0.4570208616374262,-0.4909387509940422,1.0,-0.5278334442428312,0.7729249688874996,-0.5068951307139481,0.437018241555253,,0.013866908849130903,-0.0018435905845366257,0.7747704320797445,0.24557211083698974,-0.41355706426061295,-0.27941742024520155,0.2054993966499421,-0.041155866635339454,-0.03942693453274956,-0.056536103824845696,-0.028202893876516085,-0.0022598974970506553
A_swing_high_dist_48h,0.292948879370859,-0.1588288610992348,0.8055763559726281,-0.5278334442428312,1.0,-0.5881597742869203,0.5590899293205401,-0.47506659736919,,-0.009631328041334814,0.006405113528021635,-0.8325384032155456,-0.009062944754482851,0.38496648008637196,0.2149947842471893,-0.237543251152548,-0.002048250479810785,-0.005586509089720346,0.005446653266013517,-0.07489911784462071,-0.009741998260220213
A_swing_low_dist_48h,-0.10140201260844928,0.3325327146390032,-0.4386145581536651,0.7729249688874996,-0.5881597742869203,1.0,-0.650506665816982,0.6202645303259593,,-0.006347683667122852,0.02567259353976099,0.8911263368261533,0.17311372509587275,-0.36323534731109264,-0.24128048089448473,0.16538400877668366,-0.028061132007266863,-0.03729269555932721,-0.04402898742573645,-0.014809017894277951,0.020962890375758107
A_swing_high_dist_168h,0.041238191991564775,-0.19836460096670883,0.3506512141588508,-0.5068951307139481,0.5590899293205401,-0.650506665816982,1.0,-0.8407006194017299,,0.01438242210335816,-0.053633407138225515,-0.6819479289201189,-0.12867321900446482,0.2388579532950571,0.12777050666386164,-0.13123558401173882,0.09367754714246432,0.08910450730935374,0.043078330953493844,-0.022703743469713045,-0.023442077050148006
A_swing_low_dist_168h,-0.012231714989338253,0.2042501012188294,-0.28577865785383805,0.437018241555253,-0.47506659736919,0.6202645303259593,-0.8407006194017299,1.0,,-0.012451753834103478,0.03958765044620176,0.6140443366075597,0.07236497484135485,-0.19534833435360782,-0.15065756759074142,0.11300108044107417,-0.00262906420765755,0.019385769022374277,-0.011631775327546208,0.007699222260868696,0.003969466953138538
B_vpoc_dist_24h,,,,,,,,,,,,,,,,,,,,,
C_round_1k_dist_pct,0.03422043626239435,-0.06084188153208532,0.020408310194177954,0.013866908849130903,-0.009631328041334814,-0.006347683667122852,0.01438242210335816,-0.012451753834103478,,1.0,0.07850395373051047,-0.016194176781072076,-0.017584476267052715,-0.00805164276644278,-0.007065080733563462,0.033188483359739916,0.0035670381572349267,-0.0038225366451783848,-0.040750245677283824,-0.03591096915182231,-0.027772504340017996
