feature,ic_2025-11,n_2025-11,ic_2025-12,n_2025-12,ic_2026-01,n_2026-01,ic_2026-02,n_2026-02,ic_2026-03,n_2026-03,ic_2026-04,n_2026-04,early_avg,late_avg,ic_drop,early_signed,late_signed,sign_flip
post_absorb_breakout,0.2340248855932721,720,0.29117519450499535,744,0.2417114399911187,744,0.0747017396896821,672,0.07847992827332365,744,-0.003940488227646974,300,0.2556371733631287,0.04121020825048531,0.21442696511264336,0.2556371733631287,0.037269720022838335,False
flow_trend_score,0.1638800743571393,720,0.3039982610302056,744,0.18778851586445713,744,0.08794246335351737,672,0.011971793024131995,744,0.0092694363270703,300,0.218555617083934,0.010620614675601148,0.20793500240833285,0.218555617083934,0.010620614675601148,False
cg_taker_buy,0.2981447366475115,720,0.3669227723164634,744,0.2591967987570795,744,0.20855336165612098,672,0.15894605084378535,744,0.054057045078278645,300,0.3080881025736848,0.106501547961032,0.2015865546126528,0.3080881025736848,0.106501547961032,False
cg_oi_range_pct,0.2708371994030338,720,0.2988714929503794,744,0.2843622675023901,744,0.15033468281249063,672,0.1438748081611531,744,0.05277969755219502,300,0.2846903199519344,0.09832725285667407,0.18636306709526032,0.2846903199519344,0.09832725285667407,False
vol_acceleration,0.15133105323634238,720,0.27418731280505915,744,0.20373313224066902,744,0.03210499825850714,672,0.059494416677326405,744,-0.019477549750552783,300,0.20975049942735682,0.03948598321393959,0.17026451621341723,0.20975049942735682,0.02000843346338681,False
cg_liq_long,0.17632455787094387,720,0.2525578363551143,744,0.2232255540445858,744,0.15243269910675242,672,0.06637901737980711,744,-0.08153236126647735,300,0.21736931609021468,0.07395568932314223,0.14341362676707245,0.21736931609021468,-0.0075766719433351185,False
cg_oi_range_zscore,0.15291156040038656,720,0.21930737252678317,744,0.18158690900741484,744,0.05618679179685683,672,0.07911132466198922,744,0.007197413304592272,300,0.1846019473115282,0.043154368983290746,0.14144757832823746,0.1846019473115282,0.043154368983290746,False
cg_liq_short,0.2087460921466137,720,0.223000979290823,744,0.16068131750248468,744,0.1847786332778993,672,0.05711392728474188,744,0.056105559265834166,300,0.19747612964664044,0.05660974327528802,0.1408663863713524,0.19747612964664044,0.05660974327528802,False
fragility,-0.14668296042237733,720,-0.1918349715334025,744,-0.18817602523604154,744,-0.07313328889705768,672,-0.06434669020258942,744,0.04578761986244292,300,0.1755646523972738,0.05506715503251616,0.12049749736475765,-0.1755646523972738,-0.009279535170073249,False
long_liq_exhaustion_4h,0.14259698645289795,708,0.188810044065751,744,0.22592111056298858,744,0.08898538189941986,672,0.06133111610799446,744,0.10451493905487838,300,0.1857760470272125,0.08292302758143642,0.10285301944577609,0.1857760470272125,0.08292302758143642,False
cg_liq_total_zscore,0.08360963273463103,720,0.16857145295225434,742,0.11771310360397336,738,0.08210249120474926,672,0.003401208993314256,703,-0.04299514439049323,300,0.1232980630969529,0.02319817669190374,0.10009988640504916,0.1232980630969529,-0.019796967698589487,False
is_trending_bear,0.2356397209369389,720,0.04373679421344302,744,0.12304095173188107,744,0.1648454070608525,672,0.008116997784026109,744,0.07155030914418012,300,0.134139155627421,0.039833653464103114,0.09430550216331787,0.134139155627421,0.039833653464103114,False
cg_pos_account_divergence,0.25431413180516954,720,-0.06040081873813747,744,0.118093676979112,744,0.15650972600276378,672,-0.06316609837868924,744,-0.051337140348055865,300,0.144269542507473,0.05725161936337255,0.08701792314410045,0.10400233001538135,-0.05725161936337255,True
post_absorb_breakout_z,0.1062927076119617,720,0.16079704142029078,744,0.09114372521246873,744,-0.017888184453356305,672,0.0377883847424049,744,-0.04202180024222491,300,0.11941115808157372,0.03990509249231491,0.07950606558925882,0.11941115808157372,-0.0021167077499100045,False
cg_liq_exchange_vs_agg,-0.11716724080877529,720,-0.21242139174478036,742,-0.07060086003645291,738,-0.0744038145295891,672,-0.0879416005290446,703,-0.03185277398217997,300,0.13339649753000285,0.059897187255612286,0.07349931027439056,-0.13339649753000285,-0.059897187255612286,False
cg_pos_ls_ratio,0.13488051541439117,720,-0.28037466795342575,744,-0.04261407100117892,744,0.05788668410638735,672,0.09081072938467713,744,0.07513057201282111,300,0.15262308478966527,0.08297065069874912,0.06965243409091615,-0.06270274118007117,0.08297065069874912,True
vol_regime,0.10869989461142221,720,0.19283015877132229,744,0.09908771103730073,744,0.051130728696923616,672,-0.00429768552094937,744,0.12977477527528083,300,0.13353925480668175,0.0670362303981151,0.06650302440856665,0.13353925480668175,0.06273854487716574,False
taker_delta_std_24h,0.16185708305764476,720,0.061372987749995125,744,0.14681176730089918,744,0.11270685566108556,672,0.04826471619214568,744,0.07341814909054543,300,0.12334727936951302,0.06084143264134556,0.06250584672816746,0.12334727936951302,0.06084143264134556,False
cg_crowding,0.19955264345910725,720,-0.05068661408021544,744,0.036427761141100475,744,-0.11769880024526026,672,0.06162436329316823,744,-0.005728508094534384,300,0.09555567289347439,0.03367643569385131,0.06187923719962308,0.06176459683999743,0.02794792759931692,False
cg_bfx_margin_delta,0.036661385851012224,720,-0.14891875686109998,744,0.1044508966370158,744,-0.08836903990219327,672,0.07540710415440689,744,0.0010933456031006637,300,0.096677013116376,0.03825022487875378,0.05842678823762222,-0.0026021581243573185,0.03825022487875378,False
weekday_sin,0.22611577440701347,720,0.21009171227970685,744,0.21042251472211806,744,0.12653331253629127,672,0.19010961901956872,744,0.1298981681800527,300,0.21554333380294613,0.1600038935998107,0.05553944020313542,0.21554333380294613,0.1600038935998107,False
