signal_ts,entry_ts,exit_ts,direction,tier,entry_px,exit_px,exit_reason,hold_h,gross,net
2025-12-01 21:00:00,2025-12-01 22:00:00,2025-12-03 15:00:00,UP,Moderate,86380.1,92300.0,kernel_flip,41.0,0.068533145944494,0.067733145944494
2025-12-01 22:00:00,2025-12-01 23:00:00,2025-12-03 15:00:00,UP,Moderate,86518.4,92300.0,kernel_flip,40.0,0.0668250915412214,0.06602509154122141
2025-12-02 01:00:00,2025-12-02 02:00:00,2025-12-03 15:00:00,UP,Moderate,86409.9,92300.0,kernel_flip,37.0,0.06816464317167359,0.0673646431716736
2025-12-02 03:00:00,2025-12-02 04:00:00,2025-12-03 15:00:00,UP,Moderate,86935.9,92300.0,kernel_flip,35.0,0.061701782577738395,0.06090178257773839
2025-12-02 11:00:00,2025-12-02 12:00:00,2025-12-03 15:00:00,UP,Moderate,87327.0,92300.0,kernel_flip,27.0,0.056946877827017905,0.0561468778270179
2025-12-02 20:00:00,2025-12-02 21:00:00,2025-12-03 15:00:00,UP,Moderate,90976.1,92300.0,kernel_flip,18.0,0.014552173592844664,0.013752173592844663
2025-12-09 08:00:00,2025-12-09 09:00:00,2025-12-09 13:00:00,DOWN,Moderate,90459.0,90532.7,kernel_flip,4.0,-0.0008147337467803162,-0.0016147337467803161
2025-12-09 09:00:00,2025-12-09 10:00:00,2025-12-09 13:00:00,DOWN,Moderate,90100.0,90532.7,kernel_flip,3.0,-0.004802441731409424,-0.005602441731409424
2025-12-09 12:00:00,2025-12-09 13:00:00,2025-12-10 11:00:00,UP,Moderate,90532.7,92230.4,kernel_flip,22.0,0.0187523403146046,0.0179523403146046
2025-12-09 13:00:00,2025-12-09 14:00:00,2025-12-10 11:00:00,UP,Moderate,90385.1,92230.4,kernel_flip,21.0,0.020415975642002815,0.019615975642002816
2025-12-09 14:00:00,2025-12-09 15:00:00,2025-12-10 11:00:00,UP,Moderate,90327.1,92230.4,kernel_flip,20.0,0.021071195687672795,0.020271195687672796
2025-12-09 15:00:00,2025-12-09 16:00:00,2025-12-10 11:00:00,UP,Strong,92676.9,92230.4,kernel_flip,19.0,-0.0048178132846480315,-0.005617813284648032
2025-12-09 20:00:00,2025-12-09 21:00:00,2025-12-10 11:00:00,UP,Moderate,93075.2,92230.4,kernel_flip,14.0,-0.009076531664718446,-0.009876531664718446
2025-12-09 21:00:00,2025-12-09 22:00:00,2025-12-10 11:00:00,UP,Moderate,92591.2,92230.4,kernel_flip,13.0,-0.0038966986063471154,-0.004696698606347116
2025-12-09 22:00:00,2025-12-09 23:00:00,2025-12-10 11:00:00,UP,Moderate,92832.0,92230.4,kernel_flip,12.0,-0.006480523957256179,-0.007280523957256179
2025-12-10 00:00:00,2025-12-10 01:00:00,2025-12-10 11:00:00,UP,Moderate,92084.5,92230.4,kernel_flip,10.0,0.0015844143151126922,0.0007844143151126921
2025-12-10 01:00:00,2025-12-10 02:00:00,2025-12-10 11:00:00,UP,Moderate,92269.2,92230.4,kernel_flip,9.0,-0.0004205086854551787,-0.0012205086854551787
2025-12-10 04:00:00,2025-12-10 05:00:00,2025-12-10 11:00:00,UP,Moderate,92507.4,92230.4,kernel_flip,6.0,-0.002994355046190944,-0.003794355046190944
2025-12-10 05:00:00,2025-12-10 06:00:00,2025-12-10 11:00:00,UP,Moderate,92508.5,92230.4,kernel_flip,5.0,-0.003006210240140139,-0.003806210240140139
2025-12-10 06:00:00,2025-12-10 07:00:00,2025-12-10 11:00:00,UP,Moderate,92648.0,92230.4,kernel_flip,4.0,-0.004507382782143243,-0.005307382782143244
2025-12-10 07:00:00,2025-12-10 08:00:00,2025-12-10 11:00:00,UP,Moderate,92744.7,92230.4,kernel_flip,3.0,-0.0055453303531091125,-0.006345330353109113
2025-12-10 08:00:00,2025-12-10 09:00:00,2025-12-10 11:00:00,UP,Moderate,92565.1,92230.4,kernel_flip,2.0,-0.0036158336133166324,-0.004415833613316633
2025-12-10 09:00:00,2025-12-10 10:00:00,2025-12-10 11:00:00,UP,Moderate,92870.0,92230.4,kernel_flip,1.0,-0.0068870464089588745,-0.007687046408958875
2025-12-10 18:00:00,2025-12-10 19:00:00,2025-12-10 22:00:00,UP,Moderate,92448.8,92308.3,kernel_flip,3.0,-0.0015197601266863092,-0.002319760126686309
2025-12-10 19:00:00,2025-12-10 20:00:00,2025-12-10 21:00:00,UP,Moderate,92913.9,91890.04737293812,hard_stop,1.0,-0.011019369836610782,-0.011819369836610782
2025-12-10 22:00:00,2025-12-10 23:00:00,2025-12-11 00:00:00,UP,Moderate,92472.2,91977.5,kernel_flip,1.0,-0.005349715914620745,-0.0061497159146207455
2025-12-11 18:00:00,2025-12-11 19:00:00,2025-12-12 16:00:00,UP,Strong,90657.9,89895.0,kernel_flip,21.0,-0.008415151906232099,-0.0092151519062321
2025-12-11 19:00:00,2025-12-11 20:00:00,2025-12-12 15:00:00,UP,Strong,90793.5,89691.96740000404,hard_stop,19.0,-0.012132284800078885,-0.012932284800078886
2025-12-11 20:00:00,2025-12-11 21:00:00,2025-12-12 15:00:00,UP,Moderate,91740.9,90604.85187143231,hard_stop,18.0,-0.012383224151579886,-0.013183224151579886
2025-12-12 08:00:00,2025-12-12 09:00:00,2025-12-12 15:00:00,UP,Moderate,92311.4,91282.10334754156,hard_stop,6.0,-0.011150265865954134,-0.011950265865954135
2025-12-12 14:00:00,2025-12-12 15:00:00,2025-12-12 15:00:00,UP,Moderate,92393.0,91518.06417465085,hard_stop,0.0,-0.009469719841861957,-0.010269719841861957
2025-12-12 21:00:00,2025-12-12 22:00:00,2025-12-13 11:00:00,DOWN,Strong,90150.9,90546.7,kernel_flip,13.0,-0.004390416512758177,-0.005190416512758178
2025-12-12 22:00:00,2025-12-12 23:00:00,2025-12-13 11:00:00,DOWN,Strong,90294.7,90546.7,kernel_flip,12.0,-0.002790861479134543,-0.003590861479134543
2025-12-12 23:00:00,2025-12-13 00:00:00,2025-12-13 11:00:00,DOWN,Strong,90229.7,90546.7,kernel_flip,11.0,-0.003513255613173838,-0.004313255613173838
2025-12-13 00:00:00,2025-12-13 01:00:00,2025-12-13 11:00:00,DOWN,Strong,90276.9,90546.7,kernel_flip,10.0,-0.0029885829043754253,-0.003788582904375425
2025-12-13 01:00:00,2025-12-13 02:00:00,2025-12-13 11:00:00,DOWN,Strong,90192.1,90546.7,kernel_flip,9.0,-0.00393160820071814,-0.00473160820071814
2025-12-13 02:00:00,2025-12-13 03:00:00,2025-12-13 11:00:00,DOWN,Strong,90194.9,90546.7,kernel_flip,8.0,-0.0039004422644739467,-0.004700442264473947
2025-12-13 13:00:00,2025-12-13 14:00:00,2025-12-14 01:00:00,DOWN,Moderate,90215.1,90303.6,kernel_flip,11.0,-0.0009809887701726083,-0.0017809887701726083
2025-12-13 21:00:00,2025-12-13 22:00:00,2025-12-14 01:00:00,DOWN,Strong,90137.9,90303.6,kernel_flip,3.0,-0.0018382944355261888,-0.0026382944355261887
2025-12-13 22:00:00,2025-12-13 23:00:00,2025-12-14 01:00:00,DOWN,Strong,90092.3,90303.6,kernel_flip,2.0,-0.0023453724680133625,-0.0031453724680133625
