feature,ic,consist,n,n_folds,abs_ic,pass_ic,pass_consist,SCREEN_PASS
cg_oi_agg_close,-0.07184091750529698,0.8831168831168831,3696,77.0,0.07184091750529698,True,True,True
cg_oi_close,-0.06541933700596891,0.922077922077922,3696,77.0,0.06541933700596891,True,True,True
cg_oi_cm_delta_zscore,-0.06387695692439417,0.5714285714285714,984,21.0,0.06387695692439417,True,False,False
cg_oi_cm_vs_usd,0.05630952201571681,0.6666666666666666,988,21.0,0.05630952201571681,True,True,True
cg_crowding,-0.056072030253081113,0.6363636363636364,3696,77.0,0.056072030253081113,True,False,False
cg_ls_divergence_zscore,0.053868684400553306,0.7142857142857143,3696,77.0,0.053868684400553306,True,True,True
cg_funding_close,-0.052452084975989646,0.6753246753246753,3696,77.0,0.052452084975989646,True,True,True
cg_oi_cm_delta,-0.05029266779321862,0.5714285714285714,987,21.0,0.05029266779321862,True,False,False
cvd_persistence_12h,-0.04659724808896704,0.8571428571428571,3696,77.0,0.04659724808896704,False,True,False
cg_oi_cm_close,-0.045248916352896636,0.6190476190476191,988,21.0,0.045248916352896636,False,False,False
vol_acceleration,0.04448340070822989,0.5844155844155844,3696,77.0,0.04448340070822989,False,False,False
oi_price_divergence,0.043383567462210025,0.6493506493506493,3696,77.0,0.043383567462210025,False,False,False
quote_vol_ratio,0.04266272600120803,0.5454545454545454,3696,77.0,0.04266272600120803,False,False,False
oi_8h_non_bull,-0.0420112298488705,0.6363636363636364,3696,77.0,0.0420112298488705,False,False,False
quote_vol_zscore,0.04195044301647945,0.5324675324675324,3696,77.0,0.04195044301647945,False,False,False
cg_oi_binance_share_zscore,-0.0410083945701275,0.5974025974025974,3696,77.0,0.0410083945701275,False,False,False
cg_bfx_margin_delta,0.040437306543872335,0.38961038961038963,3696,77.0,0.040437306543872335,False,False,False
fragility_zscore,-0.03900178043591695,0.5194805194805194,3696,77.0,0.03900178043591695,False,False,False
weekday_cos,0.0378879027592171,0.4935064935064935,3696,77.0,0.0378879027592171,False,False,False
cg_bfx_margin_ratio,0.037484433891959934,0.42857142857142855,3696,77.0,0.037484433891959934,False,False,False
cg_bfx_margin_short,-0.03676356512035923,0.42857142857142855,3696,77.0,0.03676356512035923,False,False,False
fragility,-0.03631456862196924,0.5454545454545454,3696,77.0,0.03631456862196924,False,False,False
cg_liq_total_zscore,0.03628774665147977,0.4935064935064935,3684,77.0,0.03628774665147977,False,False,False
cg_oi_range_zscore,0.035860601694655776,0.5324675324675324,3696,77.0,0.035860601694655776,False,False,False
weekday_sin,-0.035753589110865264,0.5974025974025974,3696,77.0,0.035753589110865264,False,False,False
taker_delta_ma_24h,-0.033016553170735895,0.8311688311688312,3696,77.0,0.033016553170735895,False,True,False
cg_oi_close_pctchg_24h,-0.03296083525366457,0.7662337662337663,3696,77.0,0.03296083525366457,False,True,False
cg_pos_short_pct,0.0327242561022732,0.45454545454545453,3696,77.0,0.0327242561022732,False,False,False
cg_pos_long_pct,-0.0327242561022732,0.45454545454545453,3696,77.0,0.0327242561022732,False,False,False
cg_pos_ls_ratio,-0.03261564365945232,0.4935064935064935,3696,77.0,0.03261564365945232,False,False,False
return_kurtosis,-0.032258299600726605,0.5584415584415584,3696,77.0,0.032258299600726605,False,False,False
hour_cos,-0.03125481738250818,0.4805194805194805,3696,77.0,0.03125481738250818,False,False,False
cg_oi_close_zscore,-0.03125444873085775,0.6623376623376623,3696,77.0,0.03125444873085775,False,True,False
post_absorb_breakout_z,0.030876246030269536,0.4935064935064935,3696,77.0,0.030876246030269536,False,False,False
cg_funding_close_accel,0.028325180246805356,0.5324675324675324,3696,77.0,0.028325180246805356,False,False,False
