feature,cond_ic,raw_ic,frac_fold_consist,n_folds,nonzero_frac,max_corr_existing,note,abs_cond_ic,pass_cond_ic,pass_consist,pass_notredundant,pass_notsparse,SCREEN_PASS
tj_wick_pressure_12,-0.08281485368347298,-0.04222238813065665,0.4805194805194805,77,1.0,0.28991390784647064,,0.08281485368347298,True,False,True,True,False
tj_semivar_dn_share_24,-0.08047841057632488,0.005435812257438832,0.2727272727272727,77,1.0,0.8125874493906321,,0.08047841057632488,True,False,True,True,False
tj_semivol_ratio_24,0.08047841057632488,-0.005435812257438832,0.2727272727272727,77,1.0,0.8125874493906321,,0.08047841057632488,True,False,True,True,False
tj_drawup_dd_asym_24,0.08012822302497598,0.009229707188751683,0.2987012987012987,77,1.0,0.7384832035358493,,0.08012822302497598,True,False,True,True,False
tj_tail_asym_48,0.06532450613757267,-0.0009713619489300539,0.3246753246753247,77,1.0,0.6175801155898675,,0.06532450613757267,True,False,True,True,False
tj_jump_intensity_12,0.059125037257525874,-0.010564069136308678,0.4675324675324675,77,0.7597402597402597,0.6438311112911514,,0.059125037257525874,True,False,True,True,False
tj_range_compress_6_48,-0.052124092881493,0.03363463777561738,0.45454545454545453,77,1.0,0.7678078798646145,,0.052124092881493,True,False,True,True,False
tj_wick_exhaustion_signed,0.041379061465211885,0.02635578412793421,0.5454545454545454,77,0.5524891774891775,0.9026351025105417,,0.041379061465211885,True,False,False,True,False
tj_semivar_dn_24,-0.03938215080519215,0.0022744256638071113,0.36363636363636365,77,1.0,0.802052372485129,,0.03938215080519215,True,False,True,True,False
tj_overshoot_reversal_12,-0.030210755276867837,0.050093874665090105,0.37662337662337664,77,1.0,0.44224044770635046,,0.030210755276867837,True,False,True,True,False
tj_clv_persistence_12,0.030210755276867837,-0.050093874665090105,0.37662337662337664,77,1.0,0.44224044770635046,,0.030210755276867837,True,False,True,True,False
tj_signed_jump_15_24,0.026674406797983538,-0.010773872903648191,0.4675324675324675,77,0.1525974025974026,0.5424410665682665,,0.026674406797983538,False,False,True,False,False
tj_signed_jumpvar_24,0.025114269194368155,0.0050764083840945575,0.34210526315789475,76,0.48484848484848486,0.4032851158434229,,0.025114269194368155,False,False,True,True,False
tj_body_compression_12,-0.010220342272406575,0.023306387256750404,0.5194805194805194,77,1.0,0.2810906029546715,,0.010220342272406575,False,False,True,True,False
tj_gap_atr,-0.0060620942262066095,-0.016062250112895148,0.5714285714285714,77,0.4856601731601732,0.08408702968012507,,0.0060620942262066095,False,False,True,True,False
