feature,n,ic,ci_lo,ci_hi,sig
ob_wall_dist_min_1h,480,0.1562671340009226,0.06308554648910872,0.23691991076739166,True
ob_spread_mean_1h,480,0.12978159627428937,0.03887220020578303,0.21327407794152356,True
ob_spread_max_1h,480,0.10545293451395557,0.013391479897550096,0.18661114207904475,True
ob_depth_ratio_l20_1h,484,-0.06525730999258558,-0.15084879969286938,0.02013713537045906,False
ob_wall_asym_log_1h,480,-0.05039182027699773,-0.13807386206092895,0.0394537375392014,False
liq_sell_usd_1h,1332,0.043923381963109735,-0.008249441637993585,0.09322426746256499,False
ob_imbalance_l20_std_1h,472,0.038752234160823976,-0.05129970633006701,0.12551740508202755,False
ob_imbalance_l20_mean_1h,480,0.03537949383460865,-0.05903411880977472,0.12470163418237173,False
liq_total_z_24h,1332,-0.03342090099880851,-0.08600477144505435,0.020349605925810664,False
liq_asym_log_1h,1332,0.03169098220793287,-0.024894358369955023,0.07972968355949815,False
ob_imbalance_l5_mean_1h,480,0.020507141958081412,-0.07893239743034604,0.10737195120662679,False
liq_count_1h,1332,0.017453352545700244,-0.03170779577711258,0.06734485879655072,False
ob_imbalance_l5_std_1h,472,0.013141122276240992,-0.07466340259256862,0.0998970267817573,False
liq_total_usd_1h,1332,0.009369276103767222,-0.04081153824606148,0.061929216827583185,False
liq_buy_usd_1h,1332,0.002449996954953705,-0.046001548768768365,0.05639327671663754,False
