n_bars=3999   |IC| significance yardstick (p<0.05) ~ 0.031
feature                      same_bar*       +1h       +2h       +4h   4h_path       +8h
-- FLOW per-bar deltas
taker_delta_ratio               +0.669    -0.019    -0.039    -0.037    -0.033    -0.031
cg_taker_delta                  +0.711    -0.027    -0.046    -0.042    -0.038    -0.034
cg_taker_delta_zscore           +0.671    -0.015    -0.031    -0.027    -0.023    -0.015
cg_fcvd_delta                   +0.735    -0.030    -0.047    -0.045    -0.041    -0.032
cg_scvd_delta                   +0.563    -0.012    -0.022    -0.037    -0.026    -0.019
impact_asymmetry_zscore         +0.206    -0.038    -0.024    -0.006    -0.019    +0.013
post_absorb_breakout            -0.002    +0.017    +0.008    +0.015    +0.014    +0.020
-- FLOW integrated (cum / MA / persistence)
taker_delta_ma_24h              +0.084    -0.020    -0.025    -0.033    -0.028    -0.042
cvd_persistence_12h             +0.137    -0.015    -0.020    -0.023    -0.018    -0.014
cg_fcvd_cum                     -0.015    -0.034    -0.041    -0.061    -0.056    -0.078
cg_scvd_cum                     +0.002    -0.015    -0.035    -0.047    -0.041    -0.080
-- POSITIONING state
cg_bfx_margin_ratio             -0.012    -0.011    -0.005    -0.001    -0.006    +0.006
cg_funding_close                +0.031    +0.007    +0.010    +0.013    +0.011    +0.004
cg_pos_long_pct                 -0.012    -0.012    -0.022    -0.028    -0.029    -0.049
cg_crowding                     +0.024    -0.000    +0.001    -0.001    -0.002    -0.011
cg_oi_binance_share             -0.010    -0.023    -0.022    -0.032    -0.030    -0.029
cg_pos_account_divergence       +0.024    +0.022    +0.028    +0.043    +0.034    +0.067
cg_cb_premium                   +0.009    +0.009    +0.013    +0.015    +0.020    +0.017
