slice,n,wr_endpoint,avg_endpoint_bps,avg_twap_bps,avg_net_bps,median_net_bps,sharpe_per_trade,cum_net_pct,mdd_pct,profit_factor
Strong / regime=CHOPPY,61,0.9180327868852459,105.35533766622704,106.6775391090407,92.35533766622707,73.88619399613185,1.0261611885684636,56.3367559763985,-1.9209306617426147,23.47294836493635
Strong / conf=Q4,142,0.6971830985915493,39.19858258804742,39.34152321927864,26.198582588047415,16.588427239665705,0.3172748347655874,37.20198727502731,-12.832215001711496,2.2824865135781285
Strong / conf=Q5_hi,143,0.6363636363636364,27.99283885070188,27.96474029896546,14.992838850701883,12.13535281220558,0.12598333340693255,21.439759556503695,-11.944965699886007,1.4121352586233875
Moderate / conf=Q5_hi,232,0.625,19.832008150204782,19.51320245406947,6.832008150204791,12.917487460122569,0.08341951414651513,15.850258908475087,-17.579966712216383,1.2543225720462332
Strong / DOWN,401,0.6084788029925187,19.012754773835088,19.194582087411867,6.012754773835092,3.8747100182020664,0.049451790279827906,24.111146643078772,-29.601689808248356,1.1552079840406864
Strong,713,0.5988779803646563,18.94027497013261,19.042536895440158,5.940274970132614,3.426213757729791,0.050133814072015906,42.3541605370449,-51.62497528605534,1.1557246817602256
Strong / UP,312,0.5865384615384616,18.847119837809874,18.847119837809874,5.847119837809881,1.3867557946708586,0.051119698170621314,18.243013893966804,-45.197138277185175,1.1564128843252928
Moderate / conf=Q4,17,0.5882352941176471,17.33205277263832,15.283857291293552,4.332052772638321,-0.5438897363455476,0.08394365469774862,0.736448971348515,-2.6842491774442676,1.2267801104110458
Strong / conf=Q3,143,0.6293706293706294,14.03246533696193,13.888349697546525,1.032465336961936,6.629598019971218,0.008284454862689191,1.4764254318555925,-21.539030300996064,1.0255715744092888
Strong / conf=Q2,142,0.5563380281690141,13.394260196234747,13.99273447589328,0.3942601962347526,-2.743870137638426,0.0033085385588652342,0.5598494786533655,-21.77461946320678,1.009450677082952
ALL,1873,0.5632674853176722,11.904006313224157,11.78190739651318,-1.095993686775846,-3.066591472321899,-0.009953583042491781,-20.527961753312407,-153.7314671196654,0.9709541531959994
Strong / regime=UNKNOWN,638,0.5689655172413793,11.148813332474072,11.148813332474072,-1.851186667525924,-1.633297704279656,-0.015633270331110845,-11.810570938815923,-51.62497528605534,0.955300102331593
Moderate / DOWN,573,0.5287958115183246,10.475253314526155,9.920525623293818,-2.5247466854738416,-8.456456194458106,-0.026823062585245847,-14.466798507765343,-53.823068733476774,0.9259640970797675
Moderate,1160,0.5413793103448276,7.579127388762314,7.319123920017538,-5.420872611237684,-7.309454767356104,-0.05192730214455522,-62.882122290355305,-121.06716507053778,0.8553643975905257
Moderate / conf=Q3,447,0.5525727069351231,7.182613679919887,6.839427201020349,-5.81738632008011,-5.507161941766024,-0.04795436818050086,-26.003716850758295,-47.1741468624088,0.861801912197265
Moderate / UP,587,0.5536626916524702,4.752074313016689,4.77976586894887,-8.247925686983306,-5.791454597085287,-0.07269925141753705,-48.41532378259174,-81.03795145034528,0.7977300401648817
Moderate / conf=Q1_lo,232,0.47413793103448276,2.436491869371066,2.436491869371066,-10.563508130628925,-18.595490055911313,-0.1118181157812206,-24.50733886305909,-40.38297203975639,0.7272389086239879
Moderate / conf=Q2,232,0.5,0.518200665360538,0.34829798006056506,-12.481799334639462,-13.092629795586108,-0.12435460471117323,-28.957774456363765,-45.84970774112504,0.6824102184183168
Strong / conf=Q1_lo,143,0.4755244755244755,0.1861110454584378,0.13197443519728264,-12.813888954541556,-14.815495424724034,-0.09410968397515165,-18.32386120499441,-27.63917696557956,0.7523002451905464
