side,lookback,tau,n,delta,ci_lo,ci_hi,main
sellside,L1,900,6608,-0.22897635032846853,-0.5666574065428556,-0.011123398708060873,False
sellside,L1,1800,6608,-0.36385981215752106,-0.8867256162994817,-0.024388257152737156,False
sellside,L1,3600,6608,-0.3255667942004918,-0.8336797252853677,0.010582469588637943,False
sellside,L1,7200,6608,-0.30222280773786875,-0.947653374640696,0.11935267260308656,False
sellside,L1,14400,6608,-0.26408502021933855,-0.971827834954714,0.22443157969798258,False
sellside,L2,900,6608,-0.22501496852507247,-0.5453266816745866,-0.018072480214060712,False
sellside,L2,1800,6608,-0.2947795698633909,-0.7073910658411082,-0.025658443031237627,False
sellside,L2,3600,6608,-0.36752456172102604,-0.9181112732005151,-0.020735714934402877,True
sellside,L2,7200,6608,-0.29606920375906065,-0.7868290476704408,0.06299719170903938,False
sellside,L2,14400,6608,-0.3043431863774117,-0.7900116883473579,0.08383852439213618,False
sellside,L3,900,6608,-0.19877491762789667,-0.5148159881523149,0.0138595254213453,False
sellside,L3,1800,6608,-0.3376792478552683,-0.8198194775182935,-0.030496094585053167,False
sellside,L3,3600,6608,-0.3687217724177255,-0.9265041036132976,-0.024528466326891325,False
sellside,L3,7200,6608,-0.3663925161010912,-0.8619913577691449,0.002099935376425619,False
sellside,L3,14400,6608,-0.2708552451593078,-0.7959182961758425,0.14568791279751475,False
buyside,L1,900,6420,-0.028941180844509938,-0.10391285746115171,0.03302951031591633,False
buyside,L1,1800,6420,0.047588665983532036,-0.03156981920943921,0.12788009483284324,False
buyside,L1,3600,6420,0.12964275031983657,-0.01604162070209929,0.2739863922578835,False
buyside,L1,7200,6420,0.11869563189864234,-0.03395636113114228,0.2768849369551075,False
buyside,L1,14400,6418,0.1927152462603349,-0.009997344022029005,0.4171042015904302,False
buyside,L2,900,6420,-0.0016732935204973002,-0.07663208293230613,0.07681556920585457,False
buyside,L2,1800,6420,0.05321107469052791,-0.028281604452429117,0.14931141267584488,False
buyside,L2,3600,6420,0.12808945578741904,0.0023665922832032645,0.28256933220214275,True
buyside,L2,7200,6420,0.048434668494223225,-0.08699903250751068,0.20215711815340343,False
buyside,L2,14400,6418,0.13676378503827097,-0.05672670329201581,0.3568723222618927,False
buyside,L3,900,6420,-0.016189694610414973,-0.09738540870797736,0.08056212237410669,False
buyside,L3,1800,6420,0.03877550757966162,-0.07222278273090853,0.15095867787884096,False
buyside,L3,3600,6420,0.10311556410203998,-0.0740725105453816,0.2925431390409479,False
buyside,L3,7200,6420,0.10034705487129952,-0.07595672551007841,0.26651640354047484,False
buyside,L3,14400,6418,0.10964625727447448,-0.13795671672603788,0.31190108862891164,False
