q,size,mean,median,cont_rate,side
Q1近,1322,0.07978077771496732,-0.0152001199917704,0.4886535552193646,sellside
Q2,1321,0.06402681003671426,-0.0140314191985374,0.4882664647993944,sellside
Q3,1322,-0.006578423331685968,-0.13461561674658368,0.4281391830559758,sellside
Q4,1321,-0.024831109470687437,-0.1389517529097624,0.43527630582891746,sellside
Q5遠,1322,-0.3856839971670278,-0.2420728682304473,0.37972768532526474,sellside
Q1近,1284,0.05724544808101224,-0.07231674757440351,0.4532710280373832,buyside
Q2,1284,0.010700438106898948,-0.0803758609280674,0.4657320872274143,buyside
Q3,1284,0.11205027277951575,0.01613453368502015,0.5023364485981309,buyside
Q4,1284,0.11418377886109043,0.0,0.4976635514018692,buyside
Q5遠,1284,0.13962491661808715,0.0,0.4968847352024922,buyside
