era,feature,h,n,ic_all,mo_mean_ic,n_months,mo_sign_share,halves_agree,top5_net_bps,top5_ci_lo
A_ohlcv15mo,ti_5,5,653751,-0.0257,-0.0257,15,1.0,True,,
A_ohlcv15mo,dz_5,5,653036,-0.0303,-0.0298,15,1.0,True,,
A_ohlcv15mo,ret_5,5,653750,-0.0326,-0.0312,15,1.0,True,,
A_ohlcv15mo,ti_15,5,653741,-0.0267,-0.0268,15,1.0,True,,
A_ohlcv15mo,dz_15,5,653036,-0.0297,-0.0294,15,1.0,True,,
A_ohlcv15mo,ret_15,5,653740,-0.0345,-0.0336,15,1.0,True,,
A_ohlcv15mo,ti_60,5,653696,-0.022,-0.0223,15,1.0,True,,
A_ohlcv15mo,dz_60,5,653036,-0.0207,-0.0206,15,1.0,True,,
A_ohlcv15mo,ret_60,5,653695,-0.0306,-0.0298,15,1.0,True,,
A_ohlcv15mo,vshock_60,5,653696,0.0001,0.0004,15,0.53,False,,
A_ohlcv15mo,ti_5,15,653741,-0.026,-0.0262,15,1.0,True,,
A_ohlcv15mo,dz_5,15,653026,-0.03,-0.03,15,1.0,True,,
A_ohlcv15mo,ret_5,15,653740,-0.0306,-0.0302,15,1.0,True,,
A_ohlcv15mo,ti_15,15,653731,-0.0332,-0.0336,15,1.0,True,,
A_ohlcv15mo,dz_15,15,653026,-0.0349,-0.0352,15,1.0,True,,
A_ohlcv15mo,ret_15,15,653730,-0.0405,-0.0408,15,1.0,True,,
A_ohlcv15mo,ti_60,15,653686,-0.0255,-0.026,15,0.93,True,,
A_ohlcv15mo,dz_60,15,653026,-0.0246,-0.0246,15,0.93,True,,
A_ohlcv15mo,ret_60,15,653685,-0.0348,-0.0348,15,1.0,True,,
A_ohlcv15mo,vshock_60,15,653686,-0.0022,-0.0022,15,0.53,True,,
A_ohlcv15mo,ti_5,30,653726,-0.0245,-0.0249,15,1.0,True,-7.59,-7.8
A_ohlcv15mo,dz_5,30,653011,-0.0267,-0.027,15,1.0,True,-6.77,-7.34
A_ohlcv15mo,ret_5,30,653725,-0.0279,-0.0283,15,1.0,True,-7.41,-8.15
A_ohlcv15mo,ti_15,30,653716,-0.0332,-0.034,15,0.93,True,-7.1,-7.37
A_ohlcv15mo,dz_15,30,653011,-0.033,-0.0338,15,1.0,True,-6.19,-6.73
A_ohlcv15mo,ret_15,30,653715,-0.0385,-0.0398,15,1.0,True,-6.63,-7.44
A_ohlcv15mo,ti_60,30,653671,-0.0214,-0.022,15,0.93,True,-7.61,-7.87
A_ohlcv15mo,dz_60,30,653011,-0.0221,-0.0219,15,0.93,True,-8.15,-8.7
